matrix,target
fs_541_3,0
mcfe,0
bcsstk08,0
S20PI_n1_E,0
DK01R,0
fs_680_1,0
qh768,0
qh882,1
M10PI_n,1
fs_680_3,1
fs_680_2,1
cdde6,2
M10PI_n1,2
fs_541_4,2
fs_541_1,2
ex32,2
bfwa782,2
fs_760_1,2
cdde4,2
orsirr_2,2
cdde2,2
freeFlyingRobot_1,2
bcsstk19,2
cage8,2
fs_541_2,2
spaceShuttleEntry_1,3
fpga_dcop_20,3
Si2,3
cdde5,3
saylr3,3
cavity09,3
M10PI_n_E,3
lp_scfxm2,3
fpga_dcop_09,3
sherman1,3
gre_1107,3
dendrimer,3
nos3,3
umistfacesnorm_10NN,3
b_dyn,3
spaceStation_7,3
fpga_trans_02,3
illc1033,3
lnsp_511,3
S10PI_n_E,3
fpga_dcop_39,3
collins_15NN,3
b2_ss,3
fpga_dcop_22,3
bp_1200,3
fpga_dcop_37,3
spaceStation_8,3
dynamicSoaringProblem_1,3
fpga_dcop_45,3
cdde1,3
fpga_dcop_26,3
bp_0,3
ex27,3
orbitRaising_2,3
spaceStation_4,3
Spectro_10NN,3
dw256A,3
gams60am,3
S10PI_n1_E,3
gre_512,3
tomography,3
bcsstm10,3
bp_800,3
msc00726,3
bcsstk09,3
olm500,3
orbitRaising_3,3
ex21,3
cavity06,3
bp_1600,3
cavity07,3
bcsstm34,3
fpga_dcop_24,3
fpga_dcop_08,3
fpga_dcop_35,3
dwb512,3
fpga_dcop_13,3
bp_600,3
bcsstk10,3
circuit204,3
fpga_trans_01,3
lp_agg2,3
olm1000,3
M10PI_n1_E,3
west0655,3
S20PI_n1,3
fpga_dcop_17,3
685_bus,3
662_bus,3
orbitRaising_4,3
msc01050,3
cz628,3
lp_gfrd_pnc,3
west0989,3
lowThrust_1,3
micromass_10NN,3
goddardRocketProblem_1,3
S20PI_n,3
cavity05,3
spaceStation_6,3
pores_3,3
fpga_dcop_12,3
lp_agg3,3
mice_10NN,3
well1033,3
Goodwin_010,3
S10PI_n1,3
pde900,3
steam2,3
dw256B,3
rdb968,3
sherman2,3
M20PI_n1,3
tols1090,3
cnae9_10NN,3
bp_200,3
bfwb782,3
rdb800l,3
cdde3,3
QRpivot,3
bcsstk34,3
nos7,3
sherman4,3
ex22,3
spaceStation_5,3
radfr1,3
ex25,3
fpga_dcop_06,3
nos6,3
lns_511,3
orsirr_1,3
dwa512,3
spaceStation_9,3
tub1000,3
goddardRocketProblem_2,3
cavity08,3
nos2,3
Vehicle_10NN,3
fpga_dcop_30,3
rotor2,3
M20PI_n1_E,3
ck656,3
bp_400,3
nnc666,3
fpga_dcop_51,3
lp_fffff800,3
young3c,3
bp_1400,3
M20PI_n,3
bp_1000,3
bcsstm19,3
1138_bus,3
Maragal_2,3
fs_760_2,4
fpga_dcop_50,4
fpga_dcop_27,4
fpga_dcop_40,4
fpga_dcop_23,4
fpga_dcop_42,4
fpga_dcop_31,4
fpga_dcop_15,4
fpga_dcop_32,4
fs_760_3,4
fpga_dcop_16,4
reorientation_1,4
M20PI_n_E,4
bcsstm08,4
fpga_dcop_11,4
fpga_dcop_07,4
fpga_dcop_38,4
fpga_dcop_21,4
rajat04,4
S20PI_n_E,4
fpga_dcop_48,4
fpga_dcop_29,4
fpga_dcop_41,4
fpga_dcop_46,4
fpga_dcop_18,4
bcsstm09,4
fpga_dcop_49,4
fpga_dcop_36,4
fpga_dcop_19,4
fpga_dcop_33,4
fpga_dcop_44,4
fpga_dcop_28,4
fpga_dcop_34,4
fpga_dcop_43,4
fpga_dcop_25,4
fpga_dcop_10,4
fpga_dcop_47,4
rajat19,4
S10PI_n,4
