matrix,target
bayer09,3
cdde6,2
west1505,3
cdde5,3
saylr3,3
add32,2
cavity09,3
bcsstm13,3
bayer05,3
fs_760_2,4
bcsstm12,3
ex4,3
sherman1,3
bcsstk11,3
gre_1107,3
mahindas,2
nos3,3
orani678,3
ex6,3
fs_541_4,2
bcsstk28,3
ex10,3
b_dyn,3
ex7,3
cavity19,3
fs_541_3,0
g7jac010sc,3
fs_541_1,2
bcsstk15,3
rdb5000,2
lnsp_511,2
lns_3937,2
b2_ss,3
ex9,3
mcfe,0
ex33,3
ex24,3
cavity16,3
ex32,2
bayer08,3
nasa1824,3
bp_1200,3
ex31,3
g7jac010,3
msc04515,3
ex28,3
cavity14,2
cdde1,2
ex23,3
cavity23,3
bayer06,3
poli,3
plsk1919,3
bp_0,3
ex27,3
bcsstk08,3
dw256A,3
bcsstm23,3
gre_512,3
cavity24,3
bcsstm10,3
bcsstk14,3
bp_800,3
ex37,3
olm5000,3
cavity22,3
bcsstk23,0
msc00726,3
fs_760_3,4
bcsstk09,3
olm500,3
bcsstm26,3
ex21,3
bayer07,3
cavity06,3
bp_1600,3
bcsstk16,3
bfwa782,2
pores_2,3
cavity11,3
cavity07,3
ex14,3
bcsstm34,3
well1850,3
qh882,1
bcsstm08,4
ex13,2
bp_600,3
msc01440,3
bcsstk10,3
pde2961,2
orsreg_1,2
lp_agg2,3
ex10hs,3
olm1000,3
cavity21,3
fs_760_1,2
west0655,3
thermal,3
cdde4,2
saylr4,2
zenios,3
685_bus,3
662_bus,2
msc01050,3
crystm01,3
bcsstk26,3
cavity15,2
epb0,2
bcsstm11,4
circuit_2,2
bcsstk24,0
watt_1,3
gemat12,3
west0989,3
watt_2,3
psmigr_3,3
west2021,3
cavity05,3
pores_3,3
fs_680_3,1
ex12,3
ex36,3
crystk01,3
cavity17,3
nnc1374,3
meg1,3
plat1919,3
lp_agg3,3
cavity12,3
lp_25fv47,3
cavity10,3
bcsstk12,3
ex8,3
cavity18,3
orsirr_2,2
pde900,3
dw1024,2
steam2,3
bcsstm09,1
dw256B,3
garon1,3
rdb968,3
sherman2,3
sherman5,3
ex29,2
cdde2,3
bcsstm24,3
lnsp3937,2
fs_680_1,1
illc1850,2
bp_200,3
bfwb782,3
cdde3,2
bcsstk34,3
bwm2000,3
nos7,3
sherman4,3
psmigr_2,3
cavity25,3
bcsstk13,3
ex20,3
ex22,3
ex26,3
ex25,3
nos6,3
circuit_1,3
lns_511,3
fs_680_2,1
orsirr_1,3
tub1000,3
add20,3
bcsstk27,2
gemat11,3
cavity08,3
nos2,3
bcsstk21,0
olm2000,3
rdb2048,2
ck656,3
bp_400,3
nnc666,3
ex3,3
bcsstm27,3
young3c,3
cavity20,3
bcsstk19,2
bp_1400,3
cavity13,2
bp_1000,3
bcsstm19,0
coater1,3
1138_bus,0
cavity26,3
bcsstm21,3
fs_541_2,2
fs_541_3,0
mcfe,0
bcsstk08,0
S20PI_n1_E,0
DK01R,0
fs_680_1,0
qh768,0
qh882,1
M10PI_n,1
fs_680_3,1
fs_680_2,1
cdde6,2
M10PI_n1,2
fs_541_4,2
fs_541_1,2
ex32,2
bfwa782,2
fs_760_1,2
cdde4,2
orsirr_2,2
cdde2,2
freeFlyingRobot_1,2
bcsstk19,2
cage8,2
fs_541_2,2
spaceShuttleEntry_1,3
fpga_dcop_20,3
Si2,3
cdde5,3
saylr3,3
cavity09,3
M10PI_n_E,3
lp_scfxm2,3
fpga_dcop_09,3
sherman1,3
gre_1107,3
dendrimer,3
nos3,3
umistfacesnorm_10NN,3
b_dyn,3
spaceStation_7,3
fpga_trans_02,3
illc1033,3
lnsp_511,3
S10PI_n_E,3
fpga_dcop_39,3
collins_15NN,3
b2_ss,3
fpga_dcop_22,3
bp_1200,3
fpga_dcop_37,3
spaceStation_8,3
dynamicSoaringProblem_1,3
fpga_dcop_45,3
cdde1,3
fpga_dcop_26,3
bp_0,3
ex27,3
orbitRaising_2,3
spaceStation_4,3
Spectro_10NN,3
dw256A,3
gams60am,3
S10PI_n1_E,3
gre_512,3
tomography,3
bcsstm10,3
bp_800,3
msc00726,3
bcsstk09,3
olm500,3
orbitRaising_3,3
ex21,3
cavity06,3
bp_1600,3
cavity07,3
bcsstm34,3
fpga_dcop_24,3
fpga_dcop_08,3
fpga_dcop_35,3
dwb512,3
fpga_dcop_13,3
bp_600,3
bcsstk10,3
circuit204,3
fpga_trans_01,3
lp_agg2,3
olm1000,3
M10PI_n1_E,3
west0655,3
S20PI_n1,3
fpga_dcop_17,3
685_bus,3
662_bus,3
orbitRaising_4,3
msc01050,3
cz628,3
lp_gfrd_pnc,3
west0989,3
lowThrust_1,3
micromass_10NN,3
goddardRocketProblem_1,3
S20PI_n,3
cavity05,3
spaceStation_6,3
pores_3,3
fpga_dcop_12,3
lp_agg3,3
mice_10NN,3
well1033,3
Goodwin_010,3
S10PI_n1,3
pde900,3
steam2,3
dw256B,3
rdb968,3
sherman2,3
M20PI_n1,3
tols1090,3
cnae9_10NN,3
bp_200,3
bfwb782,3
rdb800l,3
cdde3,3
QRpivot,3
bcsstk34,3
nos7,3
sherman4,3
ex22,3
spaceStation_5,3
radfr1,3
ex25,3
fpga_dcop_06,3
nos6,3
lns_511,3
orsirr_1,3
dwa512,3
spaceStation_9,3
tub1000,3
goddardRocketProblem_2,3
cavity08,3
nos2,3
Vehicle_10NN,3
fpga_dcop_30,3
rotor2,3
M20PI_n1_E,3
ck656,3
bp_400,3
nnc666,3
fpga_dcop_51,3
lp_fffff800,3
young3c,3
bp_1400,3
M20PI_n,3
bp_1000,3
bcsstm19,3
1138_bus,3
Maragal_2,3
fs_760_2,4
fpga_dcop_50,4
fpga_dcop_27,4
fpga_dcop_40,4
fpga_dcop_23,4
fpga_dcop_42,4
fpga_dcop_31,4
fpga_dcop_15,4
fpga_dcop_32,4
fs_760_3,4
fpga_dcop_16,4
reorientation_1,4
M20PI_n_E,4
bcsstm08,4
fpga_dcop_11,4
fpga_dcop_07,4
fpga_dcop_38,4
fpga_dcop_21,4
rajat04,4
S20PI_n_E,4
fpga_dcop_48,4
fpga_dcop_29,4
fpga_dcop_41,4
fpga_dcop_46,4
fpga_dcop_18,4
bcsstm09,4
fpga_dcop_49,4
fpga_dcop_36,4
fpga_dcop_19,4
fpga_dcop_33,4
fpga_dcop_44,4
fpga_dcop_28,4
fpga_dcop_34,4
fpga_dcop_43,4
fpga_dcop_25,4
fpga_dcop_10,4
fpga_dcop_47,4
rajat19,4
S10PI_n,4
