matrix,target
cdde6,1
spaceShuttleEntry_1,3
fpga_dcop_20,3
Si2,3
cdde5,1
saylr3,3
cavity09,3
M10PI_n_E,3
lp_scfxm2,3
fs_760_2,3
fpga_dcop_09,3
sherman1,1
gre_1107,3
fpga_dcop_50,3
dendrimer,1
M10PI_n1,2
nos3,3
umistfacesnorm_10NN,1
fs_541_4,2
b_dyn,3
fpga_dcop_27,3
spaceStation_7,3
fs_541_3,4
fs_541_1,4
fpga_trans_02,2
illc1033,3
lnsp_511,3
S10PI_n_E,3
fpga_dcop_39,3
collins_15NN,3
b2_ss,3
mcfe,0
fpga_dcop_22,3
fpga_dcop_40,3
ex32,3
bp_1200,2
fpga_dcop_37,3
spaceStation_8,3
dynamicSoaringProblem_1,3
fpga_dcop_23,3
fpga_dcop_45,3
cdde1,1
fpga_dcop_42,3
fpga_dcop_31,3
fpga_dcop_26,3
bp_0,1
ex27,3
fpga_dcop_15,3
orbitRaising_2,3
spaceStation_4,3
Spectro_10NN,1
fpga_dcop_32,3
bcsstk08,3
dw256A,3
gams60am,4
S10PI_n1_E,2
gre_512,3
tomography,0
bcsstm10,3
bp_800,1
msc00726,1
fs_760_3,3
bcsstk09,3
olm500,1
orbitRaising_3,3
ex21,3
cavity06,1
bp_1600,2
bfwa782,3
fpga_dcop_16,3
reorientation_1,3
cavity07,3
bcsstm34,1
fpga_dcop_24,3
fpga_dcop_08,2
fpga_dcop_35,3
qh882,1
M20PI_n_E,3
dwb512,3
bcsstm08,4
fpga_dcop_13,3
bp_600,1
S20PI_n1_E,4
bcsstk10,3
circuit204,2
DK01R,0
fpga_trans_01,2
lp_agg2,3
olm1000,1
fpga_dcop_11,3
fs_760_1,3
M10PI_n1_E,4
fpga_dcop_07,3
west0655,3
S20PI_n1,3
cdde4,1
fpga_dcop_17,3
fpga_dcop_38,3
fpga_dcop_21,3
685_bus,3
rajat04,2
662_bus,1
orbitRaising_4,3
msc01050,3
cz628,1
lp_gfrd_pnc,1
west0989,3
S20PI_n_E,1
lowThrust_1,3
micromass_10NN,1
fpga_dcop_48,3
goddardRocketProblem_1,3
S20PI_n,3
cavity05,3
M10PI_n,1
spaceStation_6,1
pores_3,3
fpga_dcop_29,3
fs_680_3,4
fpga_dcop_12,3
fpga_dcop_41,3
lp_agg3,3
mice_10NN,3
fpga_dcop_46,3
well1033,3
Goodwin_010,1
orsirr_2,0
S10PI_n1,2
pde900,3
steam2,3
fpga_dcop_18,3
bcsstm09,4
dw256B,3
rdb968,1
sherman2,3
fpga_dcop_49,3
M20PI_n1,3
cdde2,1
tols1090,3
fs_680_1,3
cnae9_10NN,1
fpga_dcop_36,3
bp_200,1
bfwb782,1
rdb800l,1
cdde3,1
QRpivot,3
bcsstk34,1
nos7,3
sherman4,1
ex22,3
spaceStation_5,1
radfr1,3
ex25,3
freeFlyingRobot_1,2
fpga_dcop_06,3
nos6,3
fpga_dcop_19,3
fpga_dcop_33,3
fpga_dcop_44,3
lns_511,3
fs_680_2,4
orsirr_1,0
qh768,0
dwa512,3
spaceStation_9,3
tub1000,3
fpga_dcop_28,3
fpga_dcop_34,3
fpga_dcop_43,3
goddardRocketProblem_2,2
cavity08,1
fpga_dcop_25,3
nos2,3
Vehicle_10NN,1
fpga_dcop_30,3
rotor2,3
M20PI_n1_E,3
fpga_dcop_10,3
ck656,3
fpga_dcop_47,3
bp_400,1
nnc666,3
fpga_dcop_51,3
lp_fffff800,0
rajat19,2
young3c,3
bcsstk19,3
bp_1400,1
M20PI_n,3
S10PI_n,1
bp_1000,1
cage8,1
bcsstm19,0
1138_bus,3
Maragal_2,3
fs_541_2,4
