matrix,target
random_sparse_matrix_32,1
random_sparse_matrix_47,2
random_sparse_matrix_41,3
random_sparse_matrix_45,3
random_sparse_matrix_84,4
random_sparse_matrix_55,3
random_sparse_matrix_57,3
random_sparse_matrix_1,3
random_sparse_matrix_36,2
random_sparse_matrix_63,3
random_sparse_matrix_34,3
random_sparse_matrix_17,3
random_sparse_matrix_53,3
random_sparse_matrix_89,3
random_sparse_matrix_43,3
random_sparse_matrix_49,0
random_sparse_matrix_18,3
random_sparse_matrix_3,3
random_sparse_matrix_92,0
random_sparse_matrix_5,3
random_sparse_matrix_8,0
random_sparse_matrix_73,3
random_sparse_matrix_80,2
random_sparse_matrix_83,3
random_sparse_matrix_26,1
random_sparse_matrix_30,3
random_sparse_matrix_50,4
random_sparse_matrix_82,2
random_sparse_matrix_15,4
random_sparse_matrix_14,3
random_sparse_matrix_58,3
random_sparse_matrix_27,0
random_sparse_matrix_54,4
random_sparse_matrix_94,1
random_sparse_matrix_65,3
random_sparse_matrix_2,3
random_sparse_matrix_74,3
random_sparse_matrix_75,0
random_sparse_matrix_93,1
random_sparse_matrix_48,3
random_sparse_matrix_66,1
random_sparse_matrix_97,3
random_sparse_matrix_12,3
random_sparse_matrix_99,1
random_sparse_matrix_35,3
random_sparse_matrix_24,2
random_sparse_matrix_7,1
random_sparse_matrix_78,3
random_sparse_matrix_16,2
random_sparse_matrix_52,4
random_sparse_matrix_81,3
random_sparse_matrix_10,3
random_sparse_matrix_4,1
random_sparse_matrix_85,4
random_sparse_matrix_44,3
random_sparse_matrix_98,1
random_sparse_matrix_88,3
random_sparse_matrix_60,3
random_sparse_matrix_87,3
random_sparse_matrix_68,1
random_sparse_matrix_37,1
random_sparse_matrix_21,4
random_sparse_matrix_67,0
random_sparse_matrix_59,3
random_sparse_matrix_64,0
random_sparse_matrix_70,3
random_sparse_matrix_71,3
random_sparse_matrix_100,2
random_sparse_matrix_96,1
random_sparse_matrix_62,0
random_sparse_matrix_11,3
random_sparse_matrix_38,3
random_sparse_matrix_19,3
random_sparse_matrix_95,3
random_sparse_matrix_46,3
random_sparse_matrix_22,3
random_sparse_matrix_90,1
random_sparse_matrix_13,3
random_sparse_matrix_23,3
random_sparse_matrix_69,3
random_sparse_matrix_79,3
random_sparse_matrix_20,2
random_sparse_matrix_33,3
random_sparse_matrix_51,3
random_sparse_matrix_40,2
random_sparse_matrix_86,3
random_sparse_matrix_91,3
random_sparse_matrix_61,3
random_sparse_matrix_77,3
random_sparse_matrix_29,3
random_sparse_matrix_6,1
random_sparse_matrix_9,3
random_sparse_matrix_72,3
random_sparse_matrix_31,0
random_sparse_matrix_76,3
random_sparse_matrix_56,3
random_sparse_matrix_39,1
random_sparse_matrix_25,0
random_mtx_nc91,0
random_mtx_nc29,0
random_mtx_nc27,0
random_mtx_nc74,0
random_mtx_nc33,3
random_mtx_nc79,0
random_mtx_nc38,0
random_mtx_nc98,0
random_mtx_nc77,3
random_mtx_nc15,0
random_mtx_nc88,0
random_mtx_nc6,4
random_mtx_nc54,0
random_mtx_nc89,0
random_mtx_nc7,0
random_mtx_nc24,1
random_mtx_nc44,0
random_mtx_nc56,0
random_mtx_nc57,0
random_mtx_nc1,3
random_mtx_nc70,0
random_mtx_nc10,0
random_mtx_nc95,0
random_mtx_nc18,0
random_mtx_nc92,0
random_mtx_nc13,0
random_mtx_nc53,0
random_mtx_nc22,0
random_mtx_nc65,0
random_mtx_nc85,0
random_mtx_nc86,0
random_mtx_nc76,0
random_mtx_nc12,0
random_mtx_nc100,0
random_mtx_nc30,0
random_mtx_nc93,0
random_mtx_nc82,0
random_mtx_nc55,0
random_mtx_nc75,0
random_mtx_nc61,3
random_mtx_nc52,0
random_mtx_nc90,0
random_mtx_nc21,0
random_mtx_nc67,4
random_mtx_nc11,0
random_mtx_nc78,3
random_mtx_nc83,0
random_mtx_nc2,0
random_mtx_nc71,0
random_mtx_nc35,3
random_mtx_nc73,0
random_mtx_nc81,0
random_mtx_nc64,0
random_mtx_nc4,0
random_mtx_nc39,0
random_mtx_nc20,0
random_mtx_nc14,0
random_mtx_nc37,0
random_mtx_nc84,0
random_mtx_nc23,0
random_mtx_nc16,0
random_mtx_nc66,0
random_mtx_nc26,0
random_mtx_nc40,3
random_mtx_nc69,0
