matrix,target
random_sparse_matrix_32,1
random_sparse_matrix_47,2
random_sparse_matrix_41,3
random_sparse_matrix_45,3
random_sparse_matrix_84,4
random_sparse_matrix_55,3
random_sparse_matrix_57,3
random_sparse_matrix_1,3
random_sparse_matrix_36,2
random_sparse_matrix_63,3
random_sparse_matrix_34,3
random_sparse_matrix_17,3
random_sparse_matrix_53,3
random_sparse_matrix_89,3
random_sparse_matrix_43,3
random_sparse_matrix_49,0
random_sparse_matrix_18,3
random_sparse_matrix_3,3
random_sparse_matrix_92,0
random_sparse_matrix_5,3
random_sparse_matrix_8,0
random_sparse_matrix_73,3
random_sparse_matrix_80,2
random_sparse_matrix_83,3
random_sparse_matrix_26,1
random_sparse_matrix_30,3
random_sparse_matrix_50,4
random_sparse_matrix_82,2
random_sparse_matrix_15,4
random_sparse_matrix_14,3
random_sparse_matrix_58,3
random_sparse_matrix_27,0
random_sparse_matrix_54,4
random_sparse_matrix_94,1
random_sparse_matrix_65,3
random_sparse_matrix_2,3
random_sparse_matrix_74,3
random_sparse_matrix_75,0
random_sparse_matrix_93,1
random_sparse_matrix_48,3
random_sparse_matrix_66,1
random_sparse_matrix_97,3
random_sparse_matrix_12,3
random_sparse_matrix_99,1
random_sparse_matrix_35,3
random_sparse_matrix_24,2
random_sparse_matrix_7,1
random_sparse_matrix_78,3
random_sparse_matrix_16,2
random_sparse_matrix_52,4
random_sparse_matrix_81,3
random_sparse_matrix_10,3
random_sparse_matrix_4,1
random_sparse_matrix_85,4
random_sparse_matrix_44,3
random_sparse_matrix_98,1
random_sparse_matrix_88,3
random_sparse_matrix_60,3
random_sparse_matrix_87,3
random_sparse_matrix_68,1
random_sparse_matrix_37,1
random_sparse_matrix_21,4
random_sparse_matrix_67,0
random_sparse_matrix_59,3
random_sparse_matrix_64,0
random_sparse_matrix_70,3
random_sparse_matrix_71,3
random_sparse_matrix_100,2
random_sparse_matrix_96,1
random_sparse_matrix_62,0
random_sparse_matrix_11,3
random_sparse_matrix_38,3
random_sparse_matrix_19,3
random_sparse_matrix_95,3
random_sparse_matrix_46,3
random_sparse_matrix_22,3
random_sparse_matrix_90,1
random_sparse_matrix_13,3
random_sparse_matrix_23,3
random_sparse_matrix_69,3
random_sparse_matrix_79,3
random_sparse_matrix_20,2
random_sparse_matrix_33,3
random_sparse_matrix_51,3
random_sparse_matrix_40,2
random_sparse_matrix_86,3
random_sparse_matrix_91,3
random_sparse_matrix_61,3
random_sparse_matrix_77,3
random_sparse_matrix_29,3
random_sparse_matrix_6,1
random_sparse_matrix_9,3
random_sparse_matrix_72,3
random_sparse_matrix_31,0
random_sparse_matrix_76,3
random_sparse_matrix_56,3
random_sparse_matrix_39,1
random_sparse_matrix_25,0
