matrix,target
random_mtx_nc91,0
random_mtx_nc29,0
random_mtx_nc27,0
random_mtx_nc74,0
random_mtx_nc33,3
random_mtx_nc79,0
random_mtx_nc38,0
random_mtx_nc98,0
random_mtx_nc77,3
random_mtx_nc15,0
random_mtx_nc88,0
random_mtx_nc6,4
random_mtx_nc54,0
random_mtx_nc89,0
random_mtx_nc7,0
random_mtx_nc24,1
random_mtx_nc44,0
random_mtx_nc56,0
random_mtx_nc57,0
random_mtx_nc1,3
random_mtx_nc70,0
random_mtx_nc10,0
random_mtx_nc95,0
random_mtx_nc18,0
random_mtx_nc92,0
random_mtx_nc13,0
random_mtx_nc53,0
random_mtx_nc22,0
random_mtx_nc65,0
random_mtx_nc85,0
random_mtx_nc86,0
random_mtx_nc76,0
random_mtx_nc12,0
random_mtx_nc100,0
random_mtx_nc30,0
random_mtx_nc93,0
random_mtx_nc82,0
random_mtx_nc55,0
random_mtx_nc75,0
random_mtx_nc61,3
random_mtx_nc52,0
random_mtx_nc90,0
random_mtx_nc21,0
random_mtx_nc67,4
random_mtx_nc11,0
random_mtx_nc78,3
random_mtx_nc83,0
random_mtx_nc2,0
random_mtx_nc71,0
random_mtx_nc35,3
random_mtx_nc73,0
random_mtx_nc81,0
random_mtx_nc64,0
random_mtx_nc4,0
random_mtx_nc39,0
random_mtx_nc20,0
random_mtx_nc14,0
random_mtx_nc37,0
random_mtx_nc84,0
random_mtx_nc23,0
random_mtx_nc16,0
random_mtx_nc66,0
random_mtx_nc26,0
random_mtx_nc40,3
random_mtx_nc69,0
random_mtx_nc60,0
random_mtx_nc34,0
random_mtx_nc45,0
random_mtx_nc99,0
random_mtx_nc62,0
random_mtx_nc25,0
random_mtx_nc9,0
random_mtx_nc47,0
random_mtx_nc28,0
random_mtx_nc31,0
random_mtx_nc80,0
random_mtx_nc96,0
random_mtx_nc97,0
random_mtx_nc19,0
random_mtx_nc32,0
random_mtx_nc63,0
random_mtx_nc43,0
random_mtx_nc50,0
random_mtx_nc42,0
random_mtx_nc41,0
random_mtx_nc36,0
random_mtx_nc87,0
random_mtx_nc49,0
random_mtx_nc3,0
random_mtx_nc68,0
random_mtx_nc51,3
random_mtx_nc48,0
random_mtx_nc46,3
random_mtx_nc8,0
random_mtx_nc5,0
random_mtx_nc72,0
random_mtx_nc17,0
random_mtx_nc59,0
random_mtx_nc58,0
random_mtx_nc94,0
