matrix,target
cdde6,1
spaceShuttleEntry_1,1
fpga_dcop_20,1
Si2,1
cdde5,1
saylr3,1
cavity09,1
M10PI_n_E,1
lp_scfxm2,1
fs_760_2,1
fpga_dcop_09,1
sherman1,1
QRpivot_b,1
gre_1107,1
fpga_dcop_50,1
dendrimer,1
M10PI_n1,1
nos3,1
umistfacesnorm_10NN,1
fs_541_4,1
b_dyn,1
fpga_dcop_27,1
spaceStation_7,1
fs_541_3,0
fs_541_1,1
fpga_trans_02,1
illc1033,1
lnsp_511,1
S10PI_n_E,1
fpga_dcop_39,1
collins_15NN,1
b2_ss,1
mcfe,0
fpga_dcop_22,1
fpga_dcop_40,1
ex32,1
bp_1200,1
fpga_dcop_37,1
spaceStation_8,1
dynamicSoaringProblem_1,1
fpga_dcop_23,1
fpga_dcop_45,1
cdde1,1
fpga_dcop_42,1
fpga_dcop_31,1
fpga_dcop_26,1
bp_0,1
ex27,1
fpga_dcop_15,1
orbitRaising_2,1
spaceStation_4,1
Spectro_10NN,1
fpga_dcop_32,1
bcsstk08,0
dw256A,1
gams60am,1
S10PI_n1_E,1
gre_512,1
tomography,1
bcsstm10,1
bp_800,1
msc00726,1
fs_760_3,1
bcsstk09,1
olm500,1
orbitRaising_3,1
ex21,1
cavity06,1
bp_1600,1
bfwa782,1
fpga_dcop_16,1
reorientation_1,1
cavity07,1
bcsstm34,1
fpga_dcop_24,1
fpga_dcop_08,1
fpga_dcop_35,1
qh882,1
M20PI_n_E,1
dwb512,1
bcsstm08,1
fpga_dcop_13,1
bp_600,1
S20PI_n1_E,0
bcsstk10,1
circuit204,1
DK01R,0
fpga_trans_01,1
lp_agg2,1
olm1000,1
fpga_dcop_11,1
fs_760_1,1
M10PI_n1_E,1
fpga_dcop_07,1
west0655,1
S20PI_n1,1
cdde4,1
fpga_dcop_17,1
fpga_dcop_38,1
fpga_dcop_21,1
685_bus,1
rajat04,1
662_bus,1
orbitRaising_4,1
msc01050,1
cz628,1
lp_gfrd_pnc,1
west0989,1
S20PI_n_E,1
lowThrust_1,1
micromass_10NN,1
fpga_dcop_48,1
goddardRocketProblem_1,1
S20PI_n,1
cavity05,1
M10PI_n,1
spaceStation_6,1
pores_3,1
fpga_dcop_29,1
fs_680_3,1
fpga_dcop_12,1
fpga_dcop_41,1
lp_agg3,1
mice_10NN,1
fpga_dcop_46,1
well1033,1
Goodwin_010,1
orsirr_2,1
S10PI_n1,1
pde900,1
steam2,1
fpga_dcop_18,1
bcsstm09,1
dw256B,1
rdb968,1
sherman2,1
fpga_dcop_49,1
M20PI_n1,1
cdde2,1
tols1090,1
fs_680_1,0
cnae9_10NN,1
fpga_dcop_36,1
bp_200,1
bfwb782,1
rdb800l,1
cdde3,1
QRpivot,1
bcsstk34,1
nos7,1
sherman4,1
ex22,1
spaceStation_5,1
radfr1,1
ex25,1
freeFlyingRobot_1,1
fpga_dcop_06,1
nos6,1
fpga_dcop_19,1
fpga_dcop_33,1
fpga_dcop_44,1
lns_511,1
fs_680_2,0
orsirr_1,1
qh768,0
dwa512,1
spaceStation_9,1
tub1000,1
fpga_dcop_28,1
fpga_dcop_34,1
fpga_dcop_43,1
goddardRocketProblem_2,1
cavity08,1
fpga_dcop_25,1
nos2,1
Vehicle_10NN,1
fpga_dcop_30,1
rotor2,1
M20PI_n1_E,1
fpga_dcop_10,1
ck656,1
fpga_dcop_47,1
bp_400,1
nnc666,1
fpga_dcop_51,1
lp_fffff800,1
rajat19,1
young3c,1
bcsstk19,1
bp_1400,1
M20PI_n,1
S10PI_n,1
bp_1000,1
cage8,1
bcsstm19,1
1138_bus,1
Maragal_2,1
fs_541_2,1
