matrix,target
1138_bus,1
494_bus,1
662_bus,1
685_bus,1
arc130,1
b_dyn,1
b2_ss,1
bcsstk03,1
bcsstk04,1
bcsstk05,1
bcsstk06,1
bcsstk07,1
bcsstk08,0
bcsstk09,1
bcsstk10,1
bcsstk19,1
bcsstk20,0
bcsstk22,1
bcsstk34,1
bcsstm03,1
bcsstm04,1
bcsstm05,1
bcsstm06,1
bcsstm07,1
bcsstm08,1
bcsstm09,1
bcsstm10,1
bcsstm19,1
bcsstm20,1
bcsstm22,1
bcsstm34,1
beacxc,1
beaflw,1
beause,1
bfwa398,1
bfwa782,1
bfwb398,1
bfwb782,1
bp_0,1
bp_1000,1
bp_1200,1
bp_1400,1
bp_1600,1
bp_200,1
bp_400,1
bp_600,1
bp_800,1
breasttissue_10NN,1
bwm200,1
cage7,1
cage8,1
cavity01,1
cavity02,1
cavity03,1
cavity04,1
cavity05,1
cavity06,1
cavity07,1
cavity08,1
cavity09,1
cdde1,1
cdde2,1
cdde3,1
cdde4,1
cdde5,1
cdde6,1
Chebyshev1,1
circuit204,1
ck104,1
ck400,1
ck656,1
cnae9_10NN,1
collins_15NN,1
cz148,1
cz308,1
cz628,1
dendrimer,1
dermatology_5NN,1
DK01R,0
dw256A,1
dw256B,1
dwa512,1
dwb512,1
dynamicSoaringProblem_1,1
Ecoli_10NN,1
ex1,1
ex2,1
ex21,1
ex22,1
ex25,1
ex27,1
ex32,1
fpga_dcop_06,1
fpga_dcop_07,1
fpga_dcop_08,1
fpga_dcop_09,1
fpga_dcop_10,1
fpga_dcop_11,1
fpga_dcop_12,1
fpga_dcop_13,1
fpga_dcop_15,1
fpga_dcop_16,1
fpga_dcop_17,1
fpga_dcop_18,1
fpga_dcop_19,1
fpga_dcop_20,1
fpga_dcop_21,1
fpga_dcop_22,1
fpga_dcop_23,1
fpga_dcop_24,1
fpga_dcop_25,1
fpga_dcop_26,1
fpga_dcop_27,1
fpga_dcop_28,1
fpga_dcop_29,1
fpga_dcop_30,1
fpga_dcop_31,1
fpga_dcop_32,1
