matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
random_sparse_matrix_32,524671,1500,1500,0,r,1.0,0,349.780667,293,404,524671,0,100.0,26558,498113,5.061999999999999,0,524671,0.0,168.969345,139.848679,140.7146,173.555389,168.324509,172.724091,168.31514,1.20823,1.200795,0.973576,1.003831,0.978262,1.003887,0.0,4.27732e-08,4.27732e-08,5.04008e-10,0.0,0.0,0.0,135.800003,1.244251,1.48083e-05
random_sparse_matrix_47,696048,1500,1500,0,r,1.0,0,464.032,408,525,696048,0,100.0,34644,661404,4.977,0,696048,0.0,219.670883,179.217499,179.121445,220.827301,219.343399,225.672958,219.262009,1.225722,1.22638,0.994763,1.001493,0.973404,1.001865,0.0,4.69168e-08,4.69168e-08,5.39864e-10,0.0,0.0,0.0,177.472549,1.237774,1.57113e-05
random_sparse_matrix_41,711705,1500,1500,0,r,1.0,0,474.47,417,528,711705,0,100.0,35434,676271,4.979,0,711705,0.0,224.620636,183.471527,183.507355,225.610977,224.410141,228.53479,224.297089,1.224281,1.224042,0.99561,1.000938,0.982873,1.001442,0.0,4.62344e-08,4.62344e-08,5.46214e-10,0.0,0.0,0.0,181.773407,1.235718,1.65227e-05
random_sparse_matrix_45,792489,1500,1500,0,r,1.0,0,528.326,466,586,792489,0,100.0,39799,752690,5.022,0,792489,0.0,250.092697,204.316711,204.771515,250.220123,249.809433,259.079559,249.755966,1.224044,1.221326,0.999491,1.001134,0.965312,1.001348,0.0,4.86787e-08,4.86787e-08,5.77452e-10,0.0,0.0,0.0,202.377319,1.235774,1.67335e-05
random_sparse_matrix_1,415983,1500,1500,0,r,1.0,0,277.322,229,323,415983,0,100.0,20994,394989,5.047,0,415983,0.0,136.170044,115.973122,118.942017,147.096069,136.294525,143.295486,136.320038,1.174152,1.144844,0.925722,0.999087,0.950274,0.9989,0.0,4.36669e-08,4.36669e-08,5.0543e-10,0.0,0.0,0.0,110.288094,1.234676,1.38427e-05
random_sparse_matrix_36,597051,1500,1500,0,r,1.0,0,398.034,341,449,597051,0,100.0,29649,567402,4.966,0,597051,0.0,192.157852,157.794403,158.134247,193.85527,192.032257,198.876389,192.003647,1.217774,1.215156,0.991244,1.000654,0.966218,1.000803,0.0,4.88019e-08,4.88019e-08,5.25054e-10,0.0,0.0,0.0,155.944,1.232223,1.54426e-05
random_sparse_matrix_34,565541,1500,1500,0,r,1.0,0,377.027333,329,433,565541,0,100.0,28246,537295,4.995,0,565541,0.0,182.045029,151.253754,152.926041,182.110275,181.892166,185.405319,181.908356,1.203574,1.190412,0.999642,1.00084,0.981876,1.000751,0.0,4.6192e-08,4.6192e-08,5.4571e-10,0.0,0.0,0.0,147.503418,1.234175,1.49115e-05
random_sparse_matrix_17,687460,1500,1500,0,r,1.0,0,458.306667,401,525,687460,0,100.0,34202,653258,4.9750000000000005,0,687460,0.0,217.297028,177.668961,177.567902,217.875397,216.981125,222.780487,217.040771,1.223044,1.22374,0.997345,1.001456,0.975386,1.001181,0.0,3.8873e-08,3.8873e-08,4.18071e-10,0.0,0.0,0.0,175.926788,1.235156,1.59886e-05
random_sparse_matrix_43,543800,1500,1500,0,r,1.0,0,362.533333,298,412,543800,0,100.0,27440,516360,5.045999999999999,0,543800,0.0,175.106308,144.985123,145.537308,176.513504,174.946457,177.706787,175.004028,1.207754,1.203171,0.992028,1.000914,0.985366,1.000584,0.0,4.64488e-08,4.64488e-08,5.58786e-10,0.0,0.0,0.0,141.927429,1.233774,1.45759e-05
random_sparse_matrix_49,798588,1500,1500,0,r,1.0,0,532.392,471,591,798588,0,100.0,39830,758758,4.988,0,798588,0.0,251.639175,205.368317,205.829376,252.842499,251.290558,257.330139,251.274139,1.225307,1.222562,0.995241,1.001387,0.977885,1.001453,0.0,4.71809e-08,4.71809e-08,5.52036e-10,0.0,0.0,0.0,204.037277,1.2333,1.58985e-05
random_sparse_matrix_18,117285,1500,1500,0,r,1.0,0,78.19,54,105,117285,0,100.0,5816,111469,4.9590000000000005,0,117285,0.0,57.312096,50.941025,52.066208,59.691265,58.104607,57.454494,57.609375,1.125068,1.100754,0.960142,0.986361,0.997522,0.99484,0.0,4.30196e-08,4.30196e-08,4.97735e-10,0.0,0.0,0.0,29.079872,1.970851,1.00621e-05
random_sparse_matrix_3,668631,1500,1500,0,r,1.0,0,445.754,383,505,668631,0,100.0,33686,634945,5.038,0,668631,0.0,211.570175,172.604736,173.322266,212.278656,211.171204,217.691269,211.315323,1.22575,1.220675,0.996662,1.001889,0.971882,1.001206,0.0,4.26491e-08,4.26491e-08,4.83344e-10,0.0,0.0,0.0,170.959198,1.237548,1.58142e-05
random_sparse_matrix_5,806279,1500,1500,0,r,1.0,0,537.519333,477,600,806279,0,100.0,40170,766109,4.982,0,806279,0.0,253.673508,206.796188,207.640289,255.431259,253.338791,259.264832,253.403366,1.226684,1.221697,0.993118,1.001321,0.978434,1.001066,0.0,4.83746e-08,4.83746e-08,5.78377e-10,0.0,0.0,0.0,204.96582,1.237638,1.62409e-05
random_sparse_matrix_8,841487,1500,1500,0,r,1.0,0,560.991333,496,616,841487,0,100.0,42097,799390,5.003,0,841487,0.0,264.2547,214.311646,214.661407,264.07251,263.785004,268.977112,263.641113,1.233039,1.23103,1.00069,1.001781,0.982443,1.002327,0.0,3.93573e-08,3.93573e-08,4.84377e-10,0.0,0.0,0.0,213.427139,1.238149,1.69179e-05
random_sparse_matrix_26,133821,1500,1500,0,r,1.0,0,89.214,61,119,133821,0,100.0,6659,127162,4.976,0,133821,0.0,60.864353,57.360802,57.800415,62.394878,61.535583,60.850178,60.869408,1.061079,1.053009,0.97547,0.989092,1.000233,0.999917,0.0,4.31146e-08,4.31146e-08,4.83994e-10,0.0,0.0,0.0,37.793568,1.610442,9.99347e-06
random_sparse_matrix_30,584180,1500,1500,0,r,1.0,0,389.453333,331,450,584180,0,100.0,29026,555154,4.968999999999999,0,584180,0.0,188.365829,155.808578,156.251236,189.266663,188.646881,195.444321,188.50563,1.208957,1.205532,0.99524,0.99851,0.963783,0.999258,0.0,4.68792e-08,4.68792e-08,5.48178e-10,0.0,0.0,0.0,152.577408,1.234559,1.49121e-05
random_sparse_matrix_50,822919,1500,1500,0,r,1.0,0,548.612667,495,614,822919,0,100.0,41280,781639,5.016,0,822919,0.0,258.426422,209.83046,210.236069,259.656219,258.00238,263.277832,257.788818,1.231596,1.22922,0.995264,1.001644,0.981573,1.002473,0.0,4.14252e-08,4.14252e-08,5.01787e-10,0.0,0.0,0.0,208.711746,1.238198,1.67268e-05
random_sparse_matrix_15,196707,1500,1500,0,r,1.0,0,131.138,98,180,196707,0,100.0,9687,187020,4.925,0,196707,0.0,79.037346,77.223938,78.537857,78.514847,80.62912,79.925087,79.395134,1.023482,1.00636,1.006655,0.980258,0.988893,0.995494,0.0,4.51194e-08,4.51194e-08,5.19353e-10,0.0,0.0,0.0,58.306911,1.35554,1.10365e-05
