matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
random_mtx_nc91,398384,1615,1044,0,r,1.0,0,246.677399,200,292,398384,0,100.0,19700,378684,4.945,0,398384,0.0,130.089981,117.599297,119.684639,129.802429,128.275299,130.834015,128.127426,1.106214,1.08694,1.002215,1.014147,0.994313,1.015317,0.0,4.03112e-08,4.03112e-08,4.77156e-10,0.0,0.0,0.0,101.829857,1.277523,1.29801e-05
random_mtx_nc29,405443,1867,727,0,r,1.0,0,217.162828,170,257,405443,0,100.0,20428,385015,5.038,0,405443,0.0,126.824509,111.622177,114.345757,133.621155,127.860481,129.134171,125.775391,1.136195,1.109132,0.949135,0.991898,0.982114,1.008341,0.0,3.70944e-08,3.70944e-08,4.4064e-10,0.0,0.0,0.0,92.800163,1.366641,1.25506e-05
random_mtx_nc27,156821,632,978,0,r,1.0,0,248.134494,210,289,156821,0,100.0,7953,148868,5.071,0,156821,0.0,54.168831,48.446274,49.684353,55.251392,54.260674,55.402561,54.176895,1.118122,1.090259,0.980407,0.998307,0.977732,0.999851,0.0,3.63525e-08,3.63525e-08,4.3079e-10,0.0,0.0,0.0,41.285503,1.312055,1.35576e-05
random_mtx_nc74,693379,1340,1704,0,r,1.0,0,517.447015,437,574,693379,0,100.0,34704,658675,5.005,0,693379,0.0,221.983322,183.969498,183.842239,221.977982,221.693634,225.854523,221.778564,1.206631,1.207466,1.000024,1.001307,0.98286,1.000923,0.0,4.65855e-08,4.65855e-08,5.27845e-10,0.0,0.0,0.0,182.669785,1.215216,1.66289e-05
random_mtx_nc33,42944,996,824,0,r,1.0,0,43.116466,25,66,42944,0,100.0,2168,40776,5.048,0,42944,0.0,25.006592,29.195936,31.117056,28.739552,25.22224,24.971519,25.434431,0.856509,0.80363,0.870111,0.99145,1.001404,0.983179,0.0,4.42861e-08,4.42861e-08,5.23174e-10,0.0,0.0,0.0,14.944544,1.673292,9.36315e-06
random_mtx_nc79,216213,503,1191,0,r,1.0,0,429.846918,380,477,216213,0,100.0,10727,205486,4.961,0,216213,0.0,70.061729,57.773407,58.198238,72.042236,70.210274,73.891838,70.335426,1.212699,1.203846,0.972509,0.997884,0.948166,0.996109,0.0,4.30715e-08,4.30715e-08,5.44064e-10,0.0,0.0,0.0,56.155521,1.247637,1.49845e-05
random_mtx_nc38,236587,815,1854,0,r,1.0,0,290.290798,248,339,236587,0,100.0,11833,224754,5.002,0,236587,0.0,80.40419,69.071136,69.854179,85.688065,80.417953,84.828514,80.683708,1.164078,1.151029,0.938336,0.999829,0.947844,0.996536,0.0,4.78317e-08,4.78317e-08,5.21091e-10,0.0,0.0,0.0,66.109985,1.216219,1.34758e-05
random_mtx_nc98,1400410,1901,1846,0,r,1.0,0,736.670174,675,801,1400410,0,100.0,69825,1330585,4.986,0,1400410,0.0,443.749512,366.584167,367.224579,441.387634,443.291168,445.521118,443.618958,1.210498,1.208387,1.005351,1.001034,0.996024,1.000294,0.0,4.31113e-08,4.31113e-08,5.14063e-10,0.0,0.0,0.0,364.794861,1.216436,1.90716e-05
random_mtx_nc77,93516,1665,999,0,r,1.0,0,56.165766,33,84,93516,0,100.0,4617,88899,4.936999999999999,0,93516,0.0,51.560322,52.471104,53.775776,55.76688,52.158176,51.509602,51.99136,0.982642,0.958802,0.924569,0.988538,1.000985,0.991709,0.0,4.15485e-08,4.15485e-08,4.85816e-10,0.0,0.0,0.0,24.759457,2.08245,9.30592e-06
random_mtx_nc15,447897,1087,1759,0,r,1.0,0,412.048758,356,465,447897,0,100.0,22483,425414,5.0200000000000005,0,447897,0.0,145.352356,120.961601,121.462563,150.519165,145.307648,151.941818,145.534912,1.20164,1.196684,0.965673,1.000308,0.956632,0.998746,0.0,3.94818e-08,3.94818e-08,4.8307e-10,0.0,0.0,0.0,119.590401,1.215418,1.526e-05
random_mtx_nc88,264913,1193,1860,0,r,1.0,0,222.056161,174,267,264913,0,100.0,13170,251743,4.971,0,264913,0.0,91.697662,82.853981,83.960419,96.270721,91.257507,92.55629,91.182785,1.106738,1.092153,0.952498,1.004823,0.990723,1.005647,0.0,4.65417e-08,4.65417e-08,5.05645e-10,0.0,0.0,0.0,74.587074,1.229404,1.24892e-05
random_mtx_nc6,248492,1279,509,0,r,1.0,0,194.286161,151,228,248492,0,100.0,12291,236201,4.946,0,248492,0.0,82.160515,70.726402,82.777634,83.727837,83.56794,83.032547,82.711998,1.161667,0.992545,0.981281,0.983158,0.989498,0.993332,0.0,7.5636e-08,7.5636e-08,6.08159e-10,0.0,0.0,0.0,55.193474,1.488591,1.24576e-05
random_mtx_nc54,498057,1036,1902,0,r,1.0,0,480.75,421,542,498057,0,100.0,25143,472914,5.048,0,498057,0.0,161.430878,134.422714,136.220764,161.883133,161.295517,164.143814,161.549759,1.20092,1.185068,0.997206,1.000839,0.983472,0.999264,0.0,3.74449e-08,3.74449e-08,4.42892e-10,0.0,0.0,0.0,133.436615,1.209794,1.66025e-05
random_mtx_nc89,217576,939,663,0,r,1.0,0,231.71033,190,273,217576,0,100.0,10965,206611,5.04,0,217576,0.0,70.206879,61.894688,63.148991,72.566978,70.441345,71.229759,70.205246,1.134296,1.111766,0.967477,0.996671,0.98564,1.000023,0.0,4.72479e-08,4.72479e-08,5.32653e-10,0.0,0.0,0.0,52.140575,1.346492,1.27591e-05
random_mtx_nc7,799530,1886,1868,0,r,1.0,0,423.92895,367,484,799530,0,100.0,39909,759621,4.992,0,799530,0.0,256.728546,213.482681,215.449081,259.99292,256.249634,260.831818,256.757202,1.202573,1.191597,0.987444,1.001869,0.984269,0.999888,0.0,4.54902e-08,4.54902e-08,5.23595e-10,0.0,0.0,0.0,211.334747,1.214796,1.65494e-05
random_mtx_nc24,85805,1124,909,0,r,1.0,0,76.338968,48,104,85805,0,100.0,4157,81648,4.845,0,85805,0.0,36.926239,38.829601,39.456032,37.198143,37.482944,39.292545,39.648991,0.950982,0.935883,0.99269,0.985148,0.939777,0.931329,0.0,4.36411e-08,4.36411e-08,4.72696e-10,0.0,0.0,0.0,22.646591,1.630543,1.04384e-05
random_mtx_nc44,233770,640,1056,0,r,1.0,0,365.265625,312,415,233770,0,100.0,11582,222188,4.954,0,233770,0.0,74.956703,63.85379,64.155487,77.782974,74.957504,78.114754,74.925468,1.17388,1.16836,0.963665,0.999989,0.959572,1.000417,0.0,3.82371e-08,3.82371e-08,4.7112e-10,0.0,0.0,0.0,59.90189,1.251325,1.53081e-05
random_mtx_nc56,132703,558,1069,0,r,1.0,0,237.818996,203,271,132703,0,100.0,6740,125963,5.079000000000001,0,132703,0.0,47.712704,40.338818,39.927586,48.586784,48.071678,49.292736,47.824322,1.182799,1.194981,0.98201,0.992533,0.967946,0.997666,0.0,4.9263e-08,4.9263e-08,5.8187e-10,0.0,0.0,0.0,34.057858,1.400931,1.35109e-05
random_mtx_nc57,588509,1839,892,0,r,1.0,0,320.015769,269,366,588509,0,100.0,29573,558936,5.025,0,588509,0.0,178.390503,146.904129,152.606171,182.643646,178.172165,186.493561,178.829086,1.214333,1.16896,0.976713,1.001225,0.95655,0.997547,0.0,4.44754e-08,4.44754e-08,5.4505e-10,0.0,0.0,0.0,136.568039,1.306239,1.39912e-05
random_mtx_nc1,68790,903,843,0,r,1.0,0,76.179402,54,99,68790,0,100.0,3387,65403,4.9239999999999995,0,68790,0.0,27.22736,31.514816,32.599232,29.662048,27.250977,26.799616,27.676992,0.863954,0.835215,0.917919,0.999133,1.015961,0.983754,0.0,4.45488e-08,4.45488e-08,5.10542e-10,0.0,0.0,0.0,17.824608,1.527515,9.74863e-06
random_mtx_nc70,213795,946,718,0,r,1.0,0,225.998943,169,258,213795,0,100.0,10673,203122,4.992,0,213795,0.0,70.44899,61.713345,62.625824,73.418243,70.475197,70.947006,69.889694,1.141552,1.124919,0.959557,0.999628,0.99298,1.008003,0.0,4.53925e-08,4.53925e-08,5.45208e-10,0.0,0.0,0.0,51.527073,1.367223,1.15821e-05
random_mtx_nc10,309107,1646,779,0,r,1.0,0,187.792831,155,233,309107,0,100.0,15440,293667,4.995,0,309107,0.0,103.002335,93.502144,94.42157,105.492737,104.721375,106.172447,103.080864,1.101604,1.090877,0.976393,0.983585,0.970142,0.999238,0.0,4.43451e-08,4.43451e-08,5.44663e-10,0.0,0.0,0.0,76.326721,1.349492,1.16754e-05
random_mtx_nc95,1000528,1885,1518,0,r,1.0,0,530.784085,474,599,1000528,0,100.0,50145,950383,5.012,0,1000528,0.0,313.950684,257.221436,258.857025,315.091797,313.247742,319.936371,314.409363,1.220546,1.212834,0.996378,1.002244,0.981291,0.998541,0.0,4.11614e-08,4.11614e-08,4.90437e-10,0.0,0.0,0.0,255.750656,1.227566,1.69733e-05
random_mtx_nc18,488424,1433,1849,0,r,1.0,0,340.840195,287,410,488424,0,100.0,24216,464208,4.958,0,488424,0.0,159.5177,133.869629,134.467911,163.777786,159.293625,162.278397,159.385788,1.19159,1.186288,0.973989,1.001407,0.982988,1.000828,0.0,4.01508e-08,4.01508e-08,4.75837e-10,0.0,0.0,0.0,131.515747,1.212917,1.48225e-05
random_mtx_nc92,172542,911,1193,0,r,1.0,0,189.398463,150,225,172542,0,100.0,8493,164049,4.922,0,172542,0.0,63.586559,57.456638,57.839905,64.230782,63.934814,65.096413,63.452896,1.106688,1.099354,0.98997,0.994553,0.976806,1.002106,0.0,4.29727e-08,4.29727e-08,4.81741e-10,0.0,0.0,0.0,47.443039,1.340272,1.2792e-05
random_mtx_nc13,809905,1721,1596,0,r,1.0,0,470.601395,419,528,809905,0,100.0,40207,769698,4.9639999999999995,0,809905,0.0,256.153961,210.679077,211.082138,257.842865,255.540512,260.933197,256.258209,1.215849,1.213527,0.99345,1.002401,0.981684,0.999593,0.0,4.17223e-08,4.17223e-08,5.04923e-10,0.0,0.0,0.0,209.230392,1.224267,1.54768e-05
random_mtx_nc53,445189,969,1387,0,r,1.0,0,459.431373,402,510,445189,0,100.0,22337,422852,5.017,0,445189,0.0,141.151688,115.305183,115.559807,143.452606,141.042435,147.971909,141.295898,1.224157,1.22146,0.98396,1.000775,0.953909,0.998979,0.0,3.94028e-08,3.94028e-08,5.13949e-10,0.0,0.0,0.0,113.872543,1.239559,1.48844e-05
random_mtx_nc22,228669,748,921,0,r,1.0,0,305.707219,268,356,228669,0,100.0,11462,217207,5.012,0,228669,0.0,72.852417,61.720608,62.873375,76.428352,73.334366,77.56176,73.532318,1.180358,1.158717,0.953212,0.993428,0.939283,0.990754,0.0,4.5005e-08,4.5005e-08,5.11909e-10,0.0,0.0,0.0,57.184479,1.273989,1.25338e-05
random_mtx_nc65,136469,568,888,0,r,1.0,0,240.262324,201,289,136469,0,100.0,6838,129631,5.011,0,136469,0.0,48.124256,41.59565,43.954369,49.119873,48.319775,49.37101,48.238144,1.156954,1.094869,0.979731,0.995954,0.974747,0.997639,0.0,4.54034e-08,4.54034e-08,5.41629e-10,0.0,0.0,0.0,33.597439,1.432379,1.31183e-05
random_mtx_nc85,662363,1650,1499,0,r,1.0,0,401.432121,354,457,662363,0,100.0,33135,629228,5.003,0,662363,0.0,211.637695,174.084198,175.138336,214.150909,211.542297,218.145187,211.509338,1.21572,1.208403,0.988264,1.000451,0.970169,1.000607,0.0,4.72815e-08,4.72815e-08,5.462e-10,0.0,0.0,0.0,171.88179,1.231298,1.54796e-05
random_mtx_nc86,441822,1813,693,0,r,1.0,0,243.696635,201,300,441822,0,100.0,22076,419746,4.997,0,441822,0.0,135.691299,121.846146,125.393311,137.079941,135.466141,137.33017,135.701477,1.113628,1.082126,0.98987,1.001662,0.988066,0.999925,0.0,4.83295e-08,4.83295e-08,5.68457e-10,0.0,0.0,0.0,101.887009,1.331782,1.34881e-05
random_mtx_nc76,143195,1506,734,0,r,1.0,0,95.083001,67,128,143195,0,100.0,7162,136033,5.002,0,143195,0.0,59.859489,57.2952,58.242783,62.324352,60.428288,59.758656,59.668961,1.044756,1.027758,0.960451,0.990587,1.001687,1.003193,0.0,4.07075e-08,4.07075e-08,4.86389e-10,0.0,0.0,0.0,37.6936,1.588054,1.08156e-05
random_mtx_nc12,990576,1996,1516,0,r,1.0,0,496.280561,441,556,990576,0,100.0,49777,940799,5.025,0,990576,0.0,311.746918,255.52182,255.731293,310.675262,311.468079,313.798889,312.410461,1.22004,1.219041,1.003449,1.000895,0.993461,0.997876,0.0,4.73703e-08,4.73703e-08,5.6966e-10,0.0,0.0,0.0,253.821213,1.228215,1.60989e-05
random_mtx_nc100,245176,799,1450,0,r,1.0,0,306.853567,250,349,245176,0,100.0,12205,232971,4.978,0,245176,0.0,81.706558,69.529663,70.023582,84.245506,81.512733,85.864288,81.814461,1.175132,1.166843,0.969863,1.002378,0.951578,0.998681,0.0,3.79568e-08,3.79568e-08,4.37924e-10,0.0,0.0,0.0,66.438881,1.2298,1.54463e-05
