matrix,Adaptive-rt
ex19.mtx,232.75
cryg10000.mtx,38.1676
sctap1-2r_A_03.mtx,20.9373
hydr1c_A_50.mtx,41.1644
G56.mtx,29.2898
delf_A_14.mtx,38.0062
oscil_dcop_46.mtx,18.1607
t2d_q9_A_19.mtx,74.5061
scrs8-2r_A_04.mtx,19.4342
tumorAntiAngiogenesis_3.mtx,40.6892
mesh3em5.mtx,18.7887
bfwa398.mtx,20.4933
chipcool1_E.mtx,28.5871
sctap1-2r_A_04.mtx,23.8231
sctap1-2r_A_07.mtx,53.5028
nemeth25.mtx,601.418
Kuu.mtx,154.162
Zd_Jac3_db.mtx,650.271
p0282.mtx,22.1233
oscil_dcop_26.mtx,18.449
igbt3.mtx,359.847
dw8192.mtx,35.0876
t2dal_bci_E.mtx,18.3399
nsic_A_2.mtx,25.9542
lp_finnis.mtx,22.0715
cari.mtx,159.432
t2d_q4_A_10.mtx,73.4993
g7jac100sc.mtx,850.648
D_10.mtx,23.8908
psse2.mtx,95.303
bcsstm07.mtx,20.5659
TSOPF_FS_b300_b.mtx,35.4114
oscil_dcop_41.mtx,18.2505
mult_dcop_02.mtx,2829.01
lp_scagr25.mtx,42.748
deter8.mtx,65.3104
Kaufhold.mtx,172.097
gre_115.mtx,30.498
t2d_q4_A_39.mtx,98.4078
arc130.mtx,109.504
Trec14.mtx,2851.02
c8_mat11.mtx,2379.89
rat.mtx,236.048
TEM27623_M.mtx,218.532
lp_standgub.mtx,101.41
r05.mtx,169.799
t2d_q9_A_39.mtx,87.29
hydr1c_A_49.mtx,39.7611
nsir_A_1.mtx,271.01
lop163.mtx,17.3464
g7jac080.mtx,649.891
add32.mtx,84.8388
Reuters911_Day_37.mtx,49.4254
OPF_3754.mtx,136.149
GL7d26.mtx,54.5938
IG5-17.mtx,972.194
sctap1-2b_A_3.mtx,168.738
oscil_dcop_42.mtx,18.121
M80PI_n1.mtx,23.5556
g7jac020.mtx,102.475
bayer05.mtx,116.764
celegansneural.mtx,22.6916
rlfdual.mtx,249.369
m3plates.mtx,22.3944
sctap1-2r_A_11.mtx,285.539
bcsstk04.mtx,19.9185
bloweybl.mtx,1133.59
wiki-RfA_Neutral.mtx,83.0209
nsir_A_2.mtx,299.76
Reuters911_Day_03.mtx,80.1908
nemsafm.mtx,21.4559
TSOPF_RS_b2052_c1_b.mtx,45.3178
g7jac040.mtx,257.116
t2d_q9_A_44.mtx,89.5336
spal_004.mtx,56945.5
sx-mathoverflow.mtx,1075.41
case9_b2_02.mtx,40.9356
EternityII_A.mtx,882.598
hydr1c_A_16.mtx,55.9453
case9_b1_04.mtx,43.4726
deter4.mtx,60.0572
rw136.mtx,34.6281
S80PI_n.mtx,43.9679
orbitRaising_1.mtx,33.9177
lp_ship04s.mtx,40.5445
deter1.mtx,79.4298
delf_A_01.mtx,50.7347
Reuters911_Day_28.mtx,67.6403
tuma1.mtx,72.6398
delf_A_30.mtx,52.4258
Reuters911_Day_09.mtx,67.2095
sctap1-2r_A_10.mtx,163.579
GL6_D_10.mtx,35.6484
Reuters911_Day_48.mtx,56.3692
jan99jac040sc.mtx,258.757
large_A_34.mtx,58.6375
scsd8-2r_A_10.mtx,101.93
TEM27623.mtx,218.039
scfxm1-2b.mtx,210.13
t2dal.mtx,43.8927
bcsstm03.mtx,32.598
mk11-b4.mtx,59.6875
cavity02.mtx,62.4076
lp_stocfor1.mtx,33.381
c-43.mtx,97.3183
g7jac050sc.mtx,356.162
LFAT5000.mtx,70.997
n2c6-b5.mtx,45.8507
Reuters911_Day_63.mtx,52.7548
tumorAntiAngiogenesis_8.mtx,58.8641
case9_b2_05.mtx,41.1538
TSOPF_RS_b300_c1.mtx,1247.3
lp_sctap1.mtx,37.3452
oscil_dcop_38.mtx,35.252
large_A_05.mtx,62.1575
scsd8-2c_A_2.mtx,34.8653
c-52.mtx,306.868
large_A_15.mtx,60.832
scsd8-2r_A_09.mtx,56.0106
fd18.mtx,68.6379
lp_grow7.mtx,34.1797
problem1.mtx,32.4988
chipcool0_E.mtx,46.6076
mark3jac020.mtx,263.939
ABACUS_shell_hd_M.mtx,181.064
delf_A_32.mtx,54.3726
bcsstk28.mtx,124.272
hydr1c_A_60.mtx,56.8691
rajat13.mtx,591.956
bips98_1450_C.mtx,31.7934
shermanACd.mtx,583.152
n4c6-b13.mtx,83.7221
Reuters911_Day_38.mtx,60.3366
rat_A_3.mtx,235.466
bips98_1450.mtx,69.1778
t2d_q9_A_41.mtx,87.3507
sme3Db.mtx,1881.01
t2d_q9_A_43.mtx,90.4508
scsd8-2b_A_3.mtx,119.774
