matrix,target,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr,adaptive-rt
ex19,5,259879,12005,12005,0,r,1,0,21.647564,1,50,116904,142975,44.984,154647,105232,59.507,86392,173487,33.243,247.366882,267.625977,281.707947,281.084045,260.40976,256.255066,260.295959,0.924301,0.878097,0.880046,0.949914,0.965315,0.950329,0,4.45787e-08,1.98408e-14,1.68709e-10,5.03757e-13,5.03758e-13,5.03735e-13,125.819168,1.966051,7.82647e-06,232.75
cryg10000,2,49699,10000,10000,0,r,1,0,4.9699,3,5,14019,35680,28.208,28767,20932,57.882,24499,25200,49.295,36.314144,39.819393,42.780769,43.754719,37.920513,37.96067,39.403774,0.911971,0.848843,0.829948,0.957639,0.956625,0.921591,0,4.05359e-08,4.74685e-12,3.13529e-10,4.01868e-10,4.01868e-10,4.01868e-10,24.298719,1.494488,7.26061e-06,38.1676
hydr1c_a_50,3,19494,5308,5308,0,r,1,0,3.67257,1,12,7299,12195,37.442,18212,1282,93.424,18066,1428,92.675,12.059136,14.944064,16.628672,15.906816,14.452672,14.408576,15.889952,0.806952,0.725201,0.758111,0.834388,0.836942,0.758916,0,4.6376e-08,1.10947e-13,6.18454e-11,3.20756e-10,3.20756e-10,3.20756e-10,9.193856,1.311652,6.65889e-06,41.1644
delf_a_14,3,14928,3116,6591,0,r,1,0,4.790757,2,21,5967,8961,39.972,12721,2207,85.216,9049,5879,60.618,13.499104,15.191072,17.260193,17.177088,14.367776,14.230464,16.257183,0.888621,0.782095,0.785878,0.93954,0.948606,0.830347,0,4.79683e-08,2.94321e-11,1.02882e-10,3.48805e-09,3.48805e-09,3.48805e-09,9.607968,1.40499,7.3899e-06,38.0062
oscil_dcop_46,2,1544,430,430,0,r,1,0,3.590698,1,13,662,882,42.876,1386,158,89.767,1288,256,83.42,2.72336,2.954944,3.21376,2.956256,2.951168,3.013024,3.253408,0.921628,0.847406,0.921219,0.922808,0.903863,0.837079,0,5.19753e-08,5.23267e-14,1.42301e-10,1.9107e-10,1.9107e-10,1.9107e-10,2.835776,0.960358,6.49831e-06,18.1607
t2d_q9_a_19,5,87025,9801,9801,0,r,1,0,8.879196,4,9,31249,55776,35.908,1977,85048,2.272,961,86064,1.104,89.283455,89.672478,101.206306,93.424126,90.190208,88.806877,93.08374,0.995662,0.882193,0.955679,0.989946,1.005366,0.959173,0,4.6096e-08,1.89953e-09,2.66256e-10,5.10347e-10,5.10347e-10,5.10347e-10,45.392353,1.966927,8.0687e-06,74.5061
scrs8-2r_a_04,3,3149,784,1501,0,r,1,0,4.016582,1,15,875,2274,27.787,330,2819,10.48,12,3137,0.381,4.945472,5.586944,6.260608,5.5848,4.997248,4.980448,5.227552,0.885184,0.789935,0.885524,0.989639,0.992977,0.94604,0,4.3533e-08,2.75437e-09,2.65638e-10,1.69754e-10,1.69754e-10,1.69754e-10,4.10816,1.203817,7.99655e-06,19.4342
tumorantiangiogenesis_3,3,3952,410,410,1,r,1,0,9.639024,2,406,2122,1830,53.694,3914,38,99.038,3952,0,100.0,6.434688,7.39152,7.645472,7.623968,7.355008,7.31008,7.370304,0.87055,0.841634,0.844008,0.874872,0.880249,0.873056,0,4.12882e-08,1.3335e-14,2.5999e-12,4.12882e-08,4.12882e-08,4.12882e-08,4.770272,1.348914,2.69426e-07,40.6892
mesh3em5,4,1889,289,289,1,r,1,0,6.536332,4,9,1120,769,59.291,1056,833,55.903,0,1889,0.0,3.247488,3.291296,3.275328,3.256032,3.26208,3.261152,3.250368,0.98669,0.9915,0.997376,0.995527,0.99581,0.999114,0,4.07053e-08,2.42715e-09,2.23059e-14,0.0,0.0,0.0,2.85744,1.136503,3.96988e-06,18.7887
bfwa398,3,3678,398,398,0,r,1,0,9.241206,3,23,2610,1068,70.962,1431,2247,38.907,0,3678,0.0,5.454912,6.029792,6.78224,6.307328,5.568224,5.441184,5.714912,0.90466,0.804294,0.864853,0.97965,1.002523,0.954505,0,4.15847e-08,8.5419e-09,1.83051e-10,0.0,0.0,0.0,4.133696,1.319621,8.08282e-06,20.4933
