matrix,target
ex19,5
cryg10000,2
hydr1c_A_50,3
delf_A_14,3
oscil_dcop_46,2
t2d_q9_A_19,5
scrs8-2r_A_04,3
tumorAntiAngiogenesis_3,3
mesh3em5,4
bfwa398,3
chipcool1_E,2
nemeth25,4
Kuu,5
Zd_Jac3_db,3
oscil_dcop_26,3
igbt3,3
dw8192,2
t2dal_bci_E,3
lp_finnis,4
cari,1
t2d_q4_A_10,5
g7jac100sc,3
psse2,5
bcsstm07,3
TSOPF_FS_b300_b,2
oscil_dcop_41,1
mult_dcop_02,0
lp_scagr25,3
deter8,3
Kaufhold,3
gre_115,3
t2d_q4_A_39,3
arc130,2
rat,3
TEM27623_M,5
lp_standgub,3
r05,3
t2d_q9_A_39,5
hydr1c_A_49,3
lop163,3
g7jac080,3
add32,2
OPF_3754,5
oscil_dcop_42,2
M80PI_n1,2
g7jac020,3
bayer05,3
m3plates,3
bcsstk04,4
bloweybl,3
nemsafm,2
TSOPF_RS_b2052_c1_b,3
g7jac040,3
t2d_q9_A_44,5
spal_004,0
case9_b2_02,2
hydr1c_A_16,3
case9_b1_04,2
deter4,3
rw136,3
S80PI_n,3
orbitRaising_1,2
lp_ship04s,3
deter1,3
delf_A_01,3
tuma1,0
delf_A_30,3
jan99jac040sc,3
large_A_34,3
scsd8-2r_A_10,3
TEM27623,5
scfxm1-2b,3
t2dal,2
bcsstm03,3
cavity02,3
lp_stocfor1,1
c-43,5
g7jac050sc,3
LFAT5000,0
tumorAntiAngiogenesis_8,3
case9_b2_05,2
TSOPF_RS_b300_c1,3
oscil_dcop_38,1
large_A_05,3
scsd8-2c_A_2,3
c-52,3
large_A_15,3
scsd8-2r_A_09,3
fd18,2
lp_grow7,3
problem1,3
chipcool0_E,2
mark3jac020,3
ABACUS_shell_hd_M,5
delf_A_32,3
bcsstk28,3
hydr1c_A_60,3
rajat13,0
bips98_1450_C,3
shermanACd,3
rat_A_3,3
bips98_1450,0
t2d_q9_A_41,5
sme3Db,3
t2d_q9_A_43,3
scsd8-2b_A_3,3
cavity19,3
t2d_q4_A_22,3
lp_agg,3
kineticBatchReactor_5,2
model1,3
t2d_q9_A_09,5
gre_216a,3
t2d_q4_A_29,3
lp_cre_a,3
c-53,5
viscoplastic1_C_1,2
lp_lotfi,0
impcol_c,1
bcsstk15,5
t2d_q4_A_04,3
c-26,3
goodwin,3
Muu,5
case9_A_05,5
t2d_q4_A_31,3
t2d_q9_A_24,3
wm2,3
lhr04c,3
bcsstm04,3
scsd8-2r_A_05,3
t2d_q9_A_15,3
hvdc1,3
cbuckle_G,5
Pd_b,3
flowmeter0_E,2
SiH4,3
Glass_10NN,3
t2d_q4_A_30,3
li,3
oscil_dcop_47,1
wm3,3
ck104,3
bodyy5,3
case9,5
delf_A_09,3
raefsky3,3
kineticBatchReactor_4,2
Pd_rhs,3
TSOPF_FS_b300_c1_b,2
scsd8-2c_A_1,4
worms20_10NN,5
nopss_11k_C,4
g7jac060sc,3
rdb5000,2
light_in_tissue_Q,3
bcsstk36,5
bips07_1998,3
t2d_q4_A_43,3
oscil_dcop_40,2
t2d_q9_A_26,3
baxter,0
ABACUS_shell_ld_M,5
dynamicSoaringProblem_4,2
bayer10,3
nemeth01,3
nemeth16,3
Goodwin_040,3
large_A_01,3
t2d_q4_A_09,3
scfxm1-2b_A_3,3
mimo8x8_system,2
s3rmq4m1,0
TSOPF_RS_b162_c1_b,3
oscil_dcop_24,1
c-28,0
t2d_q9_A_03,3
flowmeter5_E,2
stokes64s,5
delf_A_35,2
large_A_07,3
large_A_19,3
hydr1c_A_24,3
std1_Jac2_db,3
t2d_q9_A_01,3
c-44,3
rdb200l,3
lns_3937,2
