matrix,target
hydr1c_A_43,3
LeGresley_4908,3
scagr7-2b_A_2,1
s3rmq4m1,3
t2d_q9_A_11,3
nemeth13,3
sinc15,3
scsd8-2r_A_08,3
cage9,3
Pres_Poisson,3
rdist2,4
t2d_q4_A_15,3
large_A_10,3
TSC_OPF_1047,1
bayer05,1
t2d_q4_A_16,3
lowThrust_4,5
cbuckle,3
nemeth25,3
large_A_37,3
hydr1c_A_76,1
Goodwin_023,3
t2d_q4_A_23,3
hydr1c_A_61,1
hydr1c_A_02,3
delf_A_03,3
t2d_q4_A_18,3
coater2,3
t2d_q9_A_38,3
benzene,3
TSOPF_FS_b9_c6,5
hydr1c_A_08,3
case9_A_02,5
large_A_07,3
psmigr_2,3
aft01,0
delf_A_07,3
cz10228,4
k3plates,0
hydr1c_A_03,3
jan99jac040,4
raefsky1,4
s2rmt3m1,3
swang2,2
t2d_q4_A_45,3
t2d_q4_A_41,0
Kaufhold,3
t2d_q4_A_04,1
M80PI_n1,3
c-36,3
co5,4
t2d_q4_A_02,3
hydr1c_A_55,3
t2d_q9_A_13,3
cz5108,3
hydr1c_A_32,1
epb1,3
nemeth12,3
flowmeter0_E,3
hydr1c_A_47,3
t2d_q9_A_18,3
dynamicSoaringProblem_5,4
hydr1c_A_24,3
large_A_23,3
delf_A_22,3
t2d_q9,1
deter4,3
nopss_11k,3
crystm02,3
c-35,4
hydr1c_A_51,1
hydr1c_A_22,3
model7,1
t2d_q4_A_37,3
large_A_05,3
t2d_q4_A_31,3
thermal,3
large_A_06,3
c-46,3
mhd4800b,3
bcsstk24,0
hydr1c_A_60,3
t2d_q4_A_20,3
optdigits_10NN,3
nasa4704,3
t2d_q9_A_31,3
cell1,3
rajat13,3
c-31,3
large_A_21,3
rat,1
c-24,3
gemat12,3
saylr4,3
rat_A_3,1
hydr1c_A_49,3
hydr1c_A_72,1
case9_A_03,5
dynamicSoaringProblem_4,4
t2d_q4_A_27,3
large_A_33,3
hydr1c_A_75,3
