matrix,target
random_mtx_1,5
random_mtx_10,5
random_mtx_11,5
random_mtx_12,5
random_mtx_13,5
random_mtx_14,5
random_mtx_15,1
random_mtx_16,5
random_mtx_17,5
random_mtx_18,0
random_mtx_19,5
random_mtx_2,5
random_mtx_20,5
random_mtx_21,5
random_mtx_22,5
random_mtx_23,5
random_mtx_24,5
random_mtx_25,5
random_mtx_26,0
random_mtx_27,5
random_mtx_28,5
random_mtx_29,5
random_mtx_3,5
random_mtx_30,5
random_mtx_31,5
random_mtx_32,5
random_mtx_33,5
random_mtx_34,5
random_mtx_35,0
random_mtx_36,5
random_mtx_37,5
random_mtx_38,5
random_mtx_39,5
random_mtx_4,5
random_mtx_40,5
random_mtx_41,5
random_mtx_42,5
random_mtx_43,5
random_mtx_44,5
random_mtx_45,5
random_mtx_46,5
random_mtx_47,5
random_mtx_48,0
random_mtx_49,5
random_mtx_5,5
random_mtx_50,5
random_mtx_6,5
random_mtx_7,5
random_mtx_8,5
random_mtx_9,5
random_mtx_nc1,3
random_mtx_nc10,0
random_mtx_nc100,0
random_mtx_nc11,0
random_mtx_nc12,5
random_mtx_nc13,0
random_mtx_nc14,0
random_mtx_nc15,0
random_mtx_nc16,0
random_mtx_nc17,0
random_mtx_nc18,5
random_mtx_nc19,0
random_mtx_nc2,0
random_mtx_nc20,0
random_mtx_nc21,0
random_mtx_nc22,0
random_mtx_nc23,0
random_mtx_nc24,1
random_mtx_nc25,0
random_mtx_nc26,0
random_mtx_nc27,0
random_mtx_nc28,0
random_mtx_nc29,0
random_mtx_nc31,0
random_mtx_nc32,0
random_mtx_nc33,3
random_mtx_nc34,5
random_mtx_nc35,3
random_mtx_nc36,0
random_mtx_nc37,0
random_mtx_nc38,0
random_mtx_nc39,0
random_mtx_nc4,0
random_mtx_nc40,3
random_mtx_nc41,0
random_mtx_nc42,0
random_mtx_nc43,0
random_mtx_nc44,0
random_mtx_nc45,0
random_mtx_nc46,3
random_mtx_nc47,0
random_mtx_nc48,0
random_mtx_nc49,0
random_mtx_nc5,0
random_mtx_nc50,0
random_mtx_nc51,3
random_mtx_nc52,0
random_mtx_nc53,0
random_mtx_nc54,0
random_mtx_nc55,0
random_mtx_nc56,0
random_mtx_nc57,5
random_mtx_nc58,5
random_mtx_nc59,5
random_mtx_nc6,5
random_mtx_nc61,3
random_mtx_nc62,5
random_mtx_nc63,5
random_mtx_nc64,0
random_mtx_nc65,0
random_mtx_nc66,5
random_mtx_nc67,4
random_mtx_nc68,0
random_mtx_nc69,5
random_mtx_nc7,5
random_mtx_nc70,0
random_mtx_nc71,0
random_mtx_nc72,0
random_mtx_nc73,5
random_mtx_nc74,5
random_mtx_nc76,0
random_mtx_nc77,3
random_mtx_nc78,3
random_mtx_nc79,0
random_mtx_nc8,5
random_mtx_nc80,5
random_mtx_nc81,5
random_mtx_nc82,5
random_mtx_nc83,5
random_mtx_nc84,5
random_mtx_nc85,5
random_mtx_nc86,5
random_mtx_nc87,5
random_mtx_nc88,5
random_mtx_nc89,0
random_mtx_nc9,5
random_mtx_nc90,5
random_mtx_nc91,5
random_mtx_nc92,0
random_mtx_nc93,5
random_mtx_nc94,0
random_mtx_nc95,5
random_mtx_nc96,5
random_mtx_nc97,5
random_mtx_nc98,5
random_mtx_nc99,5
random_sparse_matrix_1,3
random_sparse_matrix_10,3
random_sparse_matrix_100,2
random_sparse_matrix_11,3
random_sparse_matrix_13,3
random_sparse_matrix_14,3
random_sparse_matrix_15,4
random_sparse_matrix_16,2
random_sparse_matrix_17,3
random_sparse_matrix_18,3
random_sparse_matrix_19,3
random_sparse_matrix_2,3
random_sparse_matrix_20,2
random_sparse_matrix_21,4
random_sparse_matrix_22,3
random_sparse_matrix_23,3
random_sparse_matrix_24,2
random_sparse_matrix_25,0
random_sparse_matrix_26,1
random_sparse_matrix_27,0
random_sparse_matrix_29,3
random_sparse_matrix_3,3
random_sparse_matrix_31,0
random_sparse_matrix_32,1
random_sparse_matrix_33,3
random_sparse_matrix_34,3
random_sparse_matrix_35,3
random_sparse_matrix_36,2
random_sparse_matrix_37,1
random_sparse_matrix_38,3
random_sparse_matrix_39,1
random_sparse_matrix_4,1
random_sparse_matrix_40,2
random_sparse_matrix_41,3
random_sparse_matrix_43,3
random_sparse_matrix_44,3
random_sparse_matrix_45,3
random_sparse_matrix_46,3
random_sparse_matrix_47,2
random_sparse_matrix_48,3
random_sparse_matrix_49,0
random_sparse_matrix_5,3
random_sparse_matrix_50,4
random_sparse_matrix_51,3
random_sparse_matrix_52,4
random_sparse_matrix_53,3
random_sparse_matrix_54,4
random_sparse_matrix_55,3
random_sparse_matrix_56,3
random_sparse_matrix_57,3
random_sparse_matrix_58,3
random_sparse_matrix_59,3
random_sparse_matrix_6,1
random_sparse_matrix_60,3
random_sparse_matrix_61,3
random_sparse_matrix_62,0
random_sparse_matrix_63,3
random_sparse_matrix_64,0
random_sparse_matrix_65,3
random_sparse_matrix_67,0
random_sparse_matrix_68,1
random_sparse_matrix_69,3
random_sparse_matrix_7,1
random_sparse_matrix_70,3
random_sparse_matrix_71,3
random_sparse_matrix_72,3
random_sparse_matrix_73,3
random_sparse_matrix_74,3
random_sparse_matrix_75,0
random_sparse_matrix_76,3
random_sparse_matrix_77,3
random_sparse_matrix_78,3
random_sparse_matrix_79,3
random_sparse_matrix_8,0
random_sparse_matrix_80,2
random_sparse_matrix_81,3
random_sparse_matrix_82,2
random_sparse_matrix_83,3
random_sparse_matrix_84,4
random_sparse_matrix_85,4
random_sparse_matrix_86,3
random_sparse_matrix_87,3
random_sparse_matrix_88,3
random_sparse_matrix_89,3
random_sparse_matrix_9,3
random_sparse_matrix_90,1
random_sparse_matrix_91,3
random_sparse_matrix_92,0
random_sparse_matrix_93,1
random_sparse_matrix_94,1
random_sparse_matrix_95,3
random_sparse_matrix_96,1
random_sparse_matrix_97,3
random_sparse_matrix_99,1
