matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr,adaptive-rt
random_mtx_1,76819,500,500,0,r,1,0,153.638,119,185,76819,0,100,3903,72916,5.081,0,76819,0,21.672607,24.105921,29.070848,22.719296,22.056576,22.04784,22.136415,0.899057,0.74551,0.95393,0.982592,0.982981,0.979048,0,0.0000000523794,0.0000000523794,5.35178E-10,0,0,0,15.28848,1.417578,0.0000110071,430.425
random_mtx_10,61411,500,500,0,r,1,0,122.822,98,153,61411,0,100,3135,58276,5.105,0,61411,0,19.608831,24.314848,24.705473,21.062529,20.84416,19.696928,20.881216,0.806455,0.793704,0.930982,0.940735,0.995527,0.939066,0,0.0000000460951,0.0000000460951,5.04305E-10,0,0,0,13.513824,1.45102,0.000011266,329.723
random_mtx_100,60289,500,500,0,r,1,0,120.578,95,157,60289,0,100,3038,57251,5.039,0,60289,0,19.529921,24.075584,24.402752,20.870081,19.845345,20.647585,19.88464,0.811192,0.800316,0.935786,0.984106,0.945869,0.982161,0,0.0000000506421,0.0000000506421,5.33618E-10,0,0,0,13.278656,1.470775,0.0000103089,648.867
random_mtx_11,80933,500,500,0,r,1,0,161.866,130,192,80933,0,100,3994,76939,4.935,0,80933,0,21.768736,23.811169,29.999456,23.796255,22.293056,22.195871,22.231264,0.914224,0.725638,0.914797,0.976481,0.980756,0.979195,0,0.0000000496724,0.0000000496724,5.80987E-10,0,0,0,15.405856,1.413017,0.0000110836,742.744
random_mtx_12,48107,500,500,0,r,1,0,96.214,75,123,48107,0,100,2483,45624,5.161,0,48107,0,17.184832,19.520161,20.552576,18.222176,17.398048,17.148895,17.94768,0.880363,0.83614,0.943072,0.987745,1.002096,0.957496,0,0.0000000458018,0.0000000458018,5.45548E-10,0,0,0,11.196448,1.534847,0.0000106755,637.988
random_mtx_13,25095,500,500,0,r,1,0,50.19,30,67,25095,0,100,1282,23813,5.109,0,25095,0,14.30384,16.703903,17.046047,16.013952,14.327072,14.109888,14.438048,0.856317,0.839129,0.893211,0.998378,1.013746,0.990705,0,0.0000000440732,0.0000000440732,5.32737E-10,0,0,0,10.415168,1.373366,0.00000899812,349.455
random_mtx_14,47773,500,500,0,r,1,0,95.546,72,121,47773,0,100,2438,45335,5.103,0,47773,0,17.829504,19.194016,19.715809,18.050337,18.679745,17.175936,17.332289,0.92891,0.904325,0.987766,0.954483,1.038051,1.028687,0,0.0000000370785,0.0000000370785,4.22707E-10,0,0,0,11.145856,1.599653,0.0000105424,211.491
random_mtx_15,56859,500,500,0,r,1,0,113.718,89,150,56859,0,100,2787,54072,4.902,0,56859,0,20.488096,22.735329,24.296864,19.54528,19.764,19.570433,18.957216,0.901157,0.84324,1.048238,1.036637,1.04689,1.080754,0,0.0000000378148,0.0000000378148,4.4882E-10,0,0,0,12.610144,1.624731,0.0000108125,312.861
random_mtx_16,43955,500,500,0,r,1,0,87.91,65,119,43955,0,100,2242,41713,5.101,0,43955,0,16.685312,18.796385,19.117567,17.968191,16.934113,17.2568,16.960705,0.887687,0.872774,0.928603,0.985308,0.966883,0.983763,0,0.0000000447809,0.0000000447809,5.00312E-10,0,0,0,10.651552,1.566468,0.0000101807,689.989
random_mtx_17,33304,500,500,0,r,1,0,66.608,46,92,33304,0,100,1651,31653,4.957,0,33304,0,16.189472,18.709375,19.060192,17.021376,15.792288,15.527616,15.585824,0.865313,0.849387,0.951126,1.025151,1.042624,1.038731,0,0.0000000414662,0.0000000414662,4.67117E-10,0,0,0,12.192384,1.327835,0.00000952817,135.179
random_mtx_18,30795,500,500,0,r,1,0,61.59,40,83,30795,0,100,1604,29191,5.209,0,30795,0,15.162688,17.88352,18.675968,16.87488,15.03088,14.954624,15.220896,0.847858,0.811882,0.898536,1.008769,1.013913,0.996176,0,0.0000000426879,0.0000000426879,4.81861E-10,0,0,0,8.904224,1.702865,0.00000976361,664.989
random_mtx_19,32444,500,500,0,r,1,0,64.888,47,95,32444,0,100,1659,30785,5.113,0,32444,0,15.251488,18.024,18.457312,17.04896,15.359328,15.154528,15.508288,0.846177,0.826311,0.89457,0.992979,1.006398,0.983441,0,0.0000000506774,0.0000000506774,4.77591E-10,0,0,0,9.650176,1.580436,0.00000970318,444.812
random_mtx_2,73386,500,500,0,r,1,0,146.772,114,181,73386,0,100,3672,69714,5.004,0,73386,0,22.969025,24.490879,25.79088,23.655169,25.329439,23.403008,25.305599,0.93786,0.890587,0.970994,0.906811,0.981456,0.907666,0,0.0000000501849,0.0000000501849,5.55241E-10,0,0,0,14.748704,1.557359,0.0000117546,220.226
random_mtx_20,33704,500,500,0,r,1,0,67.408,47,91,33704,0,100,1691,32013,5.017,0,33704,0,15.460224,18.061407,18.513792,17.120192,15.523136,15.701184,15.660192,0.855981,0.835065,0.90304,0.995947,0.984653,0.987231,0,0.000000048782,0.000000048782,5.32686E-10,0,0,0,9.890176,1.56319,0.00000964962,519.534
random_mtx_21,55353,500,500,0,r,1,0,110.706,83,140,55353,0,100,2734,52619,4.939,0,55353,0,19.920609,22.16448,23.7936,19.769535,19.192801,19.027679,18.395967,0.898763,0.837225,1.007642,1.037921,1.046928,1.082879,0,0.0000000475902,0.0000000475902,5.35503E-10,0,0,0,11.996064,1.660595,0.0000102622,742.003
random_mtx_22,44776,500,500,0,r,1,0,89.552,61,121,44776,0,100,2198,42578,4.909,0,44776,0,16.8312,18.979328,19.223072,18.158464,16.957504,16.840897,17.407936,0.886817,0.875573,0.926907,0.992552,0.999424,0.966869,0,0.0000000450586,0.0000000450586,5.38786E-10,0,0,0,10.783008,1.5609,0.00000997,692.015
random_mtx_23,75048,500,500,0,r,1,0,150.096,121,180,75048,0,100,3729,71319,4.969,0,75048,0,21.42432,28.265633,24.87504,22.738209,23.253759,21.781313,23.231392,0.757964,0.861278,0.942217,0.921327,0.98361,0.922214,0,0.0000000329273,0.0000000329273,3.48624E-10,0,0,0,23.007904,0.931172,0.0000118104,704.932
random_mtx_24,91981,500,500,0,r,1,0,183.962,150,215,91981,0,100,4750,87231,5.164,0,91981,0,30.919296,32.377762,32.689152,31.045759,30.573664,31.582336,30.847424,0.954955,0.945858,0.995927,1.011305,0.979006,1.00233,0,0.0000000480087,0.0000000480087,5.83683E-10,0,0,0,27.516512,1.123663,0.0000114323,825.1
random_mtx_25,89740,500,500,0,r,1,0,179.48,137,222,89740,0,100,4495,85245,5.009,0,89740,0,28.539904,25.318304,26.671104,29.380129,28.801216,28.863617,28.902241,1.127244,1.070068,0.971402,0.990927,0.988785,0.987463,0,0.000000046547,0.000000046547,5.72592E-10,0,0,0,16.602655,1.718996,0.0000122693,150.049
random_mtx_26,83085,500,500,0,r,1,0,166.17,137,200,83085,0,100,4204,78881,5.06,0,83085,0,24.08128,24.141697,24.49168,23.258368,26.490976,24.814144,26.428991,0.997497,0.983243,1.035381,0.909037,0.970466,0.911169,0,0.0000000526749,0.0000000526749,5.56166E-10,0,0,0,15.860032,1.518363,0.0000111971,750.179
random_mtx_27,92953,500,500,0,r,1,0,185.906,152,219,92953,0,100,4654,88299,5.007,0,92953,0,30.975361,32.982559,26.205376,32.081505,31.866655,32.39616,31.544577,0.939144,1.182023,0.965521,0.97203,0.956143,0.981955,0,0.0000000423259,0.0000000423259,5.03491E-10,0,0,0,27.814016,1.11366,0.0000128014,872.308
random_mtx_29,60726,500,500,0,r,1,0,121.452,95,151,60726,0,100,3052,57674,5.026,0,60726,0,19.563072,25.545183,24.558208,20.917856,20.736641,19.627457,19.834145,0.765822,0.7966,0.935233,0.943406,0.99672,0.986333,0,0.0000000328302,0.0000000328302,3.96746E-10,0,0,0,19.9384,0.981176,0.0000115498,610.496
