Id	Name	Group	Rows	Cols	Nonzeros 	Kind	Date	Download File
794	lp_nug06	Qaplib	372	486	2,232	Linear Programming Problem	1995	
251	steam1	HB	240	240	2,248	Computational Fluid Dynamics Problem	1983	
2890	YaleA_10NN	ML_Graph	165	165	2,268	Undirected Weighted Graph	2020	
1746	p0291	Meszaros	252	543	2,283	Linear Programming Problem	2004	
315	mhdb416	Bai	416	416	2,312	Electromagnetics Problem	1994	
1864	Chebyshev1	Muite	261	261	2,319	Structural Problem	2007	
2421	netz4504_dual	AG-Monien	615	615	2,342	2D/3D Problem	1998	
2392	celegansneural	Newman	297	297	2,345	Directed Weighted Graph	1998	
2030	ch7-8-b1	JGD_Homology	1,176	56	2,352	Combinatorial Problem	2008	
675	lp_scsd1	LPnetlib	77	760	2,388	Linear Programming Problem	1981	
2015	ch5-5-b3	JGD_Homology	600	600	2,400	Combinatorial Problem	2008	
926	poisson2D	FEMLAB	367	367	2,417	Computational Fluid Dynamics Problem	2003	
27	bcsstk05	HB	153	153	2,423	Structural Problem	1982	
150	fs_680_2	HB	680	680	2,424	Subsequent 2D/3D Problem	1983	
2866	dermatology_5NN	ML_Graph	366	366	2,440	Undirected Weighted Graph	2020	
207	lund_b	HB	147	147	2,441	Structural Problem	1974	
635	lp_israel	LPnetlib	174	316	2,443	Linear Programming Problem		
629	lp_gfrd_pnc	LPnetlib	616	1,160	2,445	Linear Programming Problem		
122	dwt_310	HB	310	310	2,448	Structural Problem	1980	
206	lund_a	HB	147	147	2,449	Structural Problem	1974	
254	str_0	HB	363	363	2,454	Optimization Problem Sequence	1978	
151	fs_680_3	HB	680	680	2,471	Subsequent 2D/3D Problem	1983	
3	662_bus	HB	662	662	2,474	Power Network Problem	1985	
1616	dwa512	Bai	512	512	2,480	Electromagnetics Problem	1993	
310	dw256A	Bai	512	512	2,480	Electromagnetics Problem	1993	
601	lp_bandm	LPnetlib	305	472	2,494	Linear Programming Problem		
1617	dwb512	Bai	512	512	2,500	Electromagnetics Problem	1993	
311	dw256B	Bai	512	512	2,500	Electromagnetics Problem	1993	
121	dwt_307	HB	307	307	2,523	Structural Problem	1980	
