Id	Name	Group	Rows 	Cols	Nonzeros	Kind	Date	Download File
77	bcsstm27	HB	1,224	1,224	56,126	Structural Problem	1984	
49	bcsstk27	HB	1,224	1,224	56,126	Structural Problem	1984	
233	pores_2	HB	1,224	1,224	9,613	Computational Fluid Dynamics Problem	1980	
690	lp_sierra	LPnetlib	1,227	2,735	8,001	Linear Programming Problem		
1970	IG5-11	JGD_G5	1,227	1,692	22,110	Combinatorial Problem	2008	
112	dwt_1242	HB	1,242	1,242	10,426	Structural Problem	1980	
1628	rdb1250	Bai	1,250	1,250	7,300	Computational Fluid Dynamics Problem	1994	
1629	rdb1250l	Bai	1,250	1,250	7,300	Computational Fluid Dynamics Problem	1994	
208	mahindas	HB	1,258	1,258	7,682	Economic Problem	1984	
2073	mk9-b2	JGD_Homology	1,260	378	3,780	Combinatorial Problem	2008	
2562	cz1268	CPM	1,268	1,268	12,786	2D/3D Problem	2012	
195	lshp1270	HB	1,270	1,270	8,668	Thermal Problem	1978	
2189	D_7	JGD_SL6	1,270	971	12,714	Combinatorial Problem	2008	
2743	spaceStation_10	VDOL	1,272	1,272	17,478	Optimal Control Problem	2015	
1621	mhd1280b	Bai	1,280	1,280	22,778	Electromagnetics Problem	1994	
1620	mhd1280a	Bai	1,280	1,280	47,906	Electromagnetics Problem	1994	
1956	Franz3	JGD_Franz	1,280	2,800	11,520	Combinatorial Problem	2008	
1911	plbuckle	TKK	1,282	1,282	30,644	Structural Problem	2008	
2147	Trec13	JGD_Kocay	1,301	6,561	654,517	Combinatorial Problem	2008	
628	lp_ganges	LPnetlib	1,309	1,706	6,937	Linear Programming Problem		
2568	FX_March2010	Davis	1,319	9,498	301,899	Term/Document Graph	2010	
2125	n4c6-b2	JGD_Homology	1,330	210	3,990	Combinatorial Problem	2008	
2049	cis-n4c6-b2	JGD_Homology	1,330	210	3,990	Combinatorial Problem	2008	
1725	model4	Meszaros	1,337	4,962	45,753	Linear Programming Problem	2004	
2674	freeFlyingRobot_2	VDOL	1,338	1,338	11,600	Optimal Control Problem	2015	
375	coater1	Brethour	1,348	1,348	19,457	Computational Fluid Dynamics Problem	1997	
184	jagmesh9	HB	1,349	1,349	9,101	2D/3D Problem	1978	
2111	n4c5-b3	JGD_Homology	1,350	455	5,400	Combinatorial Problem	2008	
1442	rail_1357	Oberwolfach	1,357	1,357	8,985	Model Reduction Problem	2002	
2744	spaceStation_11	VDOL	1,364	1,364	18,954	Optimal Control Problem	2015	
2078	n2c6-b3	JGD_Homology	1,365	455	5,460	Combinatorial Problem	2008	
2100	n3c6-b3	JGD_Homology	1,365	455	5,460	Combinatorial Problem	2008	
214	nnc1374	HB	1,374	1,374	8,588	2D/3D Problem	1982	
181	jagmesh6	HB	1,377	1,377	8,993	2D/3D Problem	1978	
1895	photogrammetry	Luong	1,388	390	11,816	Computer Graphics/Vision Problem	2008	
2857	Binaryalphadigs_10NN	ML_Graph	1,404	1,404	19,392	Undirected Weighted Graph	2020	
420	ex23	FIDAP	1,409	1,409	42,760	Computational Fluid Dynamics Problem	1994	
2745	spaceStation_12	VDOL	1,410	1,410	19,728	Optimal Control Problem	2015	
2731	spaceShuttleEntry_2	VDOL	1,428	1,428	24,073	Optimal Control Problem	2015	
1446	spiral	Oberwolfach	1,434	1,434	18,228	Model Reduction Problem	2006	
179	jagmesh4	HB	1,440	1,440	9,504	2D/3D Problem	1978	
359	msc01440	Boeing	1,440	1,440	44,998	Structural Problem	1995	
654	lp_pilot	LPnetlib	1,441	4,860	44,375	Linear Programming Problem	1989	
18	bcspwr06	HB	1,454	1,454	5,300	Power Network Problem	1981	
2083	n2c6-b8	JGD_Homology	1,470	3,990	13,230	Combinatorial Problem	2008	
66	bcsstm11	HB	1,473	1,473	1,473	Structural Problem	1982	
67	bcsstm12	HB	1,473	1,473	19,659	Structural Problem	1982	
34	bcsstk12	HB	1,473	1,473	34,241	Duplicate Structural Problem	1982	
33	bcsstk11	HB	1,473	1,473	34,241	Structural Problem	1982	
734	lhr01	Mallya	1,477	1,477	18,427	Chemical Process Simulation Problem	1994	
680	lp_sctap3	LPnetlib	1,480	3,340	9,734	Linear Programming Problem	1981	
1626	qh1484	Bai	1,484	1,484	6,110	Power Network Problem	1994	
2892	yeast_30NN	ML_Graph	1,484	1,484	62,350	Undirected Weighted Graph	2020	
2066	mk12-b1	JGD_Homology	1,485	66	2,970	Combinatorial Problem	2008	
2402	polblogs	Newman	1,490	1,490	19,025	Directed Multigraph	2005	
864	comsol	Langemyr	1,500	1,500	97,645	Structural Problem	2002	
618	lp_degen3	LPnetlib	1,503	2,604	25,432	Linear Programming Problem	1989	
271	west1505	HB	1,505	1,505	5,414	Chemical Process Simulation Problem	1983	
2035	ch7-9-b1	JGD_Homology	1,512	63	3,024	Combinatorial Problem	2008	
1803	fxm2-6	Meszaros	1,520	2,845	12,812	Linear Programming Problem	2004	
1793	cep1	Meszaros	1,521	4,769	8,233	Linear Programming Problem	2004	
