matrix,target
oscil_dcop_46,1
tumorAntiAngiogenesis_3,1
mesh3em5,1
bfwa398,1
oscil_dcop_26,1
bcsstm07,1
oscil_dcop_41,1
gre_115,1
arc130,1
lop163,1
oscil_dcop_42,1
bcsstk04,1
rw136,1
orbitRaising_1,1
bcsstm03,1
cavity02,1
lp_stocfor1,1
tumorAntiAngiogenesis_8,1
oscil_dcop_38,1
lp_grow7,1
problem1,1
gre_216a,1
lp_lotfi,1
impcol_c,1
wm2,1
bcsstm04,1
Glass_10NN,1
oscil_dcop_47,1
wm3,1
ck104,1
oscil_dcop_40,1
oscil_dcop_24,1
rdb200l,1
oscil_dcop_07,1
cavity01,1
lp_bandm,1
pivtol,1
mesh3e1,1
tols340,1
oscil_dcop_28,1
oscil_dcop_52,1
fs_183_4,1
bcsstk20,0
lp_share1b,1
mbeaflw,1
lns_131,1
steam1,1
plat362,1
bcsstm22,1
breasttissue_10NN,1
fs_183_3,1
ex1,1
bcsstm05,1
lp_bore3d,1
spaceStation_2,1
oscil_dcop_30,1
oscil_dcop_06,1
oscil_dcop_51,0
oscil_dcop_13,1
oscil_dcop_23,1
oscil_dcop_53,1
oscil_dcop_43,1
odepa400,1
bcsstm06,1
odepb400,1
mhda416,1
mhdb416,1
nos5,1
lnsp_131,1
rajat05,1
lp_israel,1
bwm200,1
oscil_dcop_05,1
oscil_dcop_04,1
cavity03,1
tumorAntiAngiogenesis_2,1
oscil_dcop_17,1
bcsstm20,1
oscil_dcop_27,1
west0497,1
zed,1
nos4,1
oscil_dcop_08,1
str_200,1
oscil_dcop_54,1
spaceStation_3,1
mesh2em5,1
tumorAntiAngiogenesis_1,1
rotor1,1
rdb450,1
oscil_dcop_20,1
lp_scagr7,1
oscil_dcop_45,1
oscil_dcop_18,1
oscil_dcop_12,1
oscil_dcop_34,1
oscil_dcop_22,1
tub100,1
impcol_d,1
rajat11,1
gams10a,1
lpi_cplex2,1
oscil_dcop_10,1
oscil_dcop_33,1
oscil_dcop_49,1
west0156,1
west0132,1
ex2,1
hor_131,1
oscil_dcop_15,1
oscil_dcop_56,1
oscil_dcop_21,1
lp_beaconfd,1
wm1,1
oscil_dcop_35,1
Olivetti_norm_10NN,1
bcsstk07,1
iris_dataset_30NN,1
mesh2e1,1
mbeacxc,1
lpi_refinery,1
lpi_qual,1
oscil_dcop_11,1
rdb450l,1
oscil_dcop_03,1
USAir97,1
oscil_dcop_32,1
beacxc,1
oscil_dcop_19,1
bfwb398,1
oscil_dcop_16,1
plskz362,1
west0479,1
tumorAntiAngiogenesis_5,1
gre_343,1
west0167,1
lp_e226,1
lp_scorpion,1
pde225,1
lpi_vol1,1
fs_183_6,1
494_bus,1
tumorAntiAngiogenesis_4,1
oscil_dcop_57,1
oscil_dcop_48,1
oscil_dcop_44,1
oscil_dcop_50,1
gams10am,1
oscil_dcop_37,1
oscil_dcop_14,1
hangGlider_1,1
fs_183_1,1
lp_sc205,1
str_600,1
bcsstk22,1
Ecoli_10NN,1
gre_185,1
bcsstk05,1
beaflw,1
lund_b,1
lp_vtp_base,1
lund_a,1
oscil_dcop_01,1
cz148,1
Chebyshev1,1
oscil_dcop_02,1
oscil_dcop_55,1
mbeause,1
beause,1
lp_sc105,1
str_400,1
oscil_trans_01,1
bcsstk06,1
str_0,1
impcol_a,1
mcca,0
impcol_e,1
tumorAntiAngiogenesis_6,1
west0381,1
saylr1,1
tumorAntiAngiogenesis_7,1
utm300,1
oscil_dcop_25,1
rdb200,1
bcsstk03,1
dermatology_5NN,1
oscil_dcop_39,1
robot,1
lp_brandy,1
rajat14,1
gre_216b,1
poisson2D,1
cage7,1
rw496,1
nnc261,1
ck400,1
oscil_dcop_31,1
oscil_dcop_29,1
YaleA_10NN,1
cavity04,1
oscil_dcop_09,1
cz308,1
lp_capri,1
oscil_dcop_36,1
